description,category,subcategory,priority
System error preventing work Report generator error ! revenue-generating system affected,SOFTWARE,Custom Software,1
Database query timeout (module version requirements conflict) . process stuck at 99% . customer-facing services impacted,SOFTWARE,Custom Software,2
Time sensitive: Button functionality failed - entire team blocked - UI completely broken in production,SOFTWARE,User Interface,2
Database connection lost (module version requirements conflict) . data inconsistency across services . losing billable hours,SOFTWARE,Data Management,1
Process hangs indefinitely (issue reproducible in all environments) ; core process terminated unexpectedly - deadline approaching,SOFTWARE,Core Functionality,2
Time sensitive: UI elements not responding - losing billable hours - forms failing to submit data,SOFTWARE,User Interface,2
Application running slowly ! other users affected too - critical business process blocked,SOFTWARE,Performance,1
System error preventing work System becomes unresponsive ! customer-facing services impacted,SOFTWARE,Core Functionality,1
Package dependency conflicts ! checked system logs - meeting starts in 15 minutes,SOFTWARE,Configuration,2
URGENT - Customer Impact: Power BI refresh error - data missing from view - issue reproducible in all environments,SOFTWARE,Business Applications,2
System restore failure: extremely slow response - revenue-generating system affected,SOFTWARE,Operating System,3
SYSTEM ALERT: Middleware communication error !!! revenue-generating system affected,SOFTWARE,Integration,2
Data validation error (started after recent deployment) . workflow stopped . preventing order processing,SOFTWARE,Custom Software,3
Interface contract violation - all retry attempts failed !business operations severely affected,SOFTWARE,Integration,3
Zoom audio problems ! issue reproducible in all environments - production pipeline stopped,SOFTWARE,Business Applications,3
Kernel panic - incompatible packages found !multiple clients reporting issues,SOFTWARE,Operating System,4
File system corruption ! other users affected too - customer-facing services impacted,SOFTWARE,Operating System,2
