description,category,priority,timestamp
Slow query performance affecting specific reports in Customer Portal - Redis issue,DATABASE,2,2024-12-02 21:21:04
End-of-life hardware alert for non-critical file server in Sfax,HARDWARE,1,2024-11-17 16:28:04
Non-critical statistics update failures on Oracle tables,DATABASE,1,2024-11-26 09:06:04
PRIORITY: Network saturation during data migration affecting Sales workflows,NETWORK,2,2025-01-15 04:28:04
[Ticket #72741] Single disk showing early warning signs in RAID 1 array - no data at risk,HARDWARE,1,2025-02-02 06:40:04
Minor index fragmentation issues in DynamoDB - scheduled optimization recommended,DATABASE,1,2025-02-11 09:21:04
Ref #9085: Active data breach detected - unauthorized access to persistent systems confirmed,SECURITY,4,2024-11-24 17:07:04
Software update problems on Chrome OS fleet - experienced by R&D,SOFTWARE,2,2025-02-02 14:23:04
INC820104: UPS failure during power event at Monastir - multiple systems affected,HARDWARE,4,2024-11-25 00:06:04
[Ticket #72931] Server rack failure in Bizerte datacenter - all email server offline,HARDWARE,4,2025-01-01 11:50:04
Non-essential module showing errors in Inventory - doesn't affect core functions,SOFTWARE,1,2024-11-15 16:57:04
Minor alert notifications from monitoring system for HRMS services,SOFTWARE,1,2025-01-15 18:29:04
URGENT: Failing power supply on critical database server at Tunis facility,HARDWARE,3,2025-02-05 14:39:04
Routine replacement needed for aging workstations in Executive department,HARDWARE,1,2024-12-23 16:54:04
PRIORITY: Single disk showing early warning signs in RAID 10 array - no data at risk,HARDWARE,1,2025-02-09 09:41:04
Minor security misconfiguration on firewall in Ariana office,SECURITY,1,2024-11-26 00:48:04
[Ticket #20351] Security patch required for recurring vulnerability in database server,SECURITY,2,2025-02-08 00:36:04
Occasional query timeouts for specific reports in ERP using Oracle,DATABASE,1,2024-12-10 14:55:04
Critical data loss event in Oracle production database - immediate attention required,DATABASE,4,2024-11-30 13:04:04
INC293341: Backup job failures for DynamoDB database - obsirved for last intermittent runs,DATABASE,2,2024-12-10 17:55:04
PRIORITY: Failing power supply on critical domain controller at Djerba facility,HARDWARE,3,2024-11-19 03:59:04
Intermittent connection drops to MongoDB database during peak hours,DATABASE,2,2025-02-02 12:06:04
INC778910: Complete system crash of ERP affecting all Finance operations,SOFTWARE,4,2025-02-02 10:29:04
Legacy system printing glitches in Béja office - only affecting Customer Support,SOFTWARE,1,2025-01-28 06:58:04
URGENT: Occasional timeout issues reported by R&D team when accessing Customer Portal,NETWORK,1,2025-01-05 13:44:04
Critical failure of wireless AP in Djerba causing total service disruption,NETWORK,4,2025-02-11 19:01:04
Legacy system printing glitches in Hammamet office - only affecting Sales,SOFTWARE,1,2024-11-22 11:26:04
INC289946: Redundant component failure on VPN concentrator at Ben Arous - still operational,HARDWARE,2,2025-01-19 18:49:04
ALERT: Minor alert notifications from monitoring system for ERP services,SOFTWARE,1,2024-12-04 19:37:04
Performance slowdown in ERP during specific operations - identified by users,SOFTWARE,2,2024-12-20 23:18:04
ALERT: Complete system crash of Dashboard affecting all Customer Support operations,SOFTWARE,4,2024-12-21 02:51:04
INC878655: Non-critical network alert from monitoring system for Tozeur guest network,NETWORK,1,2025-02-06 18:56:04
Unauthorized access attempts detected from Sfax IP addresses,SECURITY,3,2024-12-26 00:31:04
Potential data leak from Inventory - unusual access patterns discovered,SECURITY,3,2024-12-04 15:10:04
Keyboard and mouse malfunction reports from multiple users in Sales,HARDWARE,1,2025-01-21 23:42:04
INC233023: Cosmetic UI issues in CRM on iOS platform - no functional impact,SOFTWARE,1,2025-02-13 02:18:04
Keyboard and mouse malfunction reports from multiple users in Customer Support,HARDWARE,1,2024-12-19 11:13:04
ATTENTION: Potential data leak from Dashboard - unusual access patterns encountered,SECURITY,3,2024-12-20 20:24:04
Projector system issues in Hammamet conference rooms - Operations reported,HARDWARE,1,2024-11-16 03:36:04
Security best-practice violations in Marketing user password selections,SECURITY,1,2025-01-26 06:31:04
Unstable connectivity between Jendouba and disaster recovery site - started at 2025-02-11 23:16:04,NETWORK,3,2025-02-11 23:16:04
intermittent latency reported by users accessing Analytics Platform from Béja office,NETWORK,2,2024-12-31 03:19:04
Ref #6856: ATTENTION: Minor alert notifications from monitoring system for CRM services,SOFTWARE,1,2024-12-11 09:22:04
Keyboard and mouse malfunction reports from multiple users in Executive,HARDWARE,1,2024-12-21 10:41:04
Storage array disk failure in RAID 10 - redundancy compromised,HARDWARE,3,2025-01-31 10:33:04
Security best-practice violations in Operations user password selections,SECURITY,1,2024-12-17 20:25:04
Ref #8719: PRIMARY and backup WAN link failure at Tataouine datacenter - observed at 2024-12-22 12:54:04,NETWORK,4,2024-12-22 12:54:04
Gradual growth in database size requiring future capacity planning - MySQL,DATABASE,1,2025-01-19 03:01:04
URGENT: Memory errors detected on virtualization host in Gafsa - some VMs affected,HARDWARE,2,2025-02-08 21:38:04
Unusual login patterns detected for Executive user accounts - investigation needed,SECURITY,2,2024-11-25 21:57:04
Ref #9122: Malware detected on multiple endpoints in Executive department,SECURITY,3,2024-12-14 04:19:04
Hardware errors on IT department's iOS devices - recurring impact,HARDWARE,3,2025-02-12 01:09:04
Storage array disk failure in RAID 10 - redundancy compromised,HARDWARE,3,2025-02-12 03:37:04
Warning messages appearing in Mobile App logs - no user impact observed,SOFTWARE,1,2025-01-07 06:27:04
Slow query performance affecting specific reports in Customer Portal - SQL Server issue,DATABASE,2,2024-11-30 16:36:04
Application crashes occuwring on Inventory during peak usage hours,SOFTWARE,3,2025-01-20 03:21:04
ATTENTION: Routine replacement needed for aging workstations in Finance department,HARDWARE,1,2024-12-02 06:25:04
ATTENTION: Single proxy server showing early warning signs in Tataouine facility,NETWORK,1,2024-12-16 17:49:04
Single disk showing early warning signs in RAID 5 array - no data at risk,HARDWARE,1,2025-01-25 14:36:04
Security best-practice violations in Finance user password selections,SECURITY,1,2025-01-12 18:03:04
[Ticket #74424] Storage space critical on Oracle database servers - immediate cleanup needed,DATABASE,3,2025-02-12 14:41:04
ALERT: Cosmetic UI issues in ERP on Linux platform - no functional impact,SOFTWARE,1,2024-11-19 19:11:04
Unusual login patterns detected for HR user accounts - investigation needed,SECURITY,2,2025-02-04 20:04:04
Software update problems on Windows fleet - observed by Finance,SOFTWARE,2,2025-01-17 07:41:04
Memory leak identified in HRMS affecting system stability after 2024-12-30 00:21:04 uptime,SOFTWARE,3,2024-12-30 00:21:04
Gradual growth in database size requiring future capacity planning - PostgreSQL,DATABASE,1,2025-01-09 07:51:04
Backup job failures for Redis database - detected for last moderate runs,DATABASE,2,2024-12-06 01:45:04
Minor index fragmentation issues in MySQL - scheduled optimization recommended,DATABASE,1,2024-12-14 20:24:04
Slow query performance affecting specific reports in Customer Portal - PostgreSQL issue,DATABASE,2,2024-11-15 13:11:04
Intermittent connection drops to DynamoDB database during peak hours,DATABASE,2,2024-12-19 17:18:04
Keyboard and mouse malfunction reports from multiple users in Sales,HARDWARE,1,2024-12-07 03:09:04
Intermittent connection drops to MySQL database during peak hours,DATABASE,2,2024-12-06 07:30:04
Minor index fragmentation issues in SQL Server - scheduled optimization recommended,DATABASE,1,2024-12-20 08:55:04
Complete database outage affecting all HRMS operations - detected at 2025-02-13 14:44:04,DATABASE,4,2025-02-13 14:44:04
Ref #7154: Database replication lag exceeding thresholds on DynamoDB cluster,DATABASE,3,2025-01-29 05:44:04
Intermittent connection drops to Redis database during peak hours,DATABASE,2,2025-01-31 12:01:04
Mobile app UI rendering issues on Linux devices after recent update,SOFTWARE,2,2024-11-29 23:28:04
[Ticket #34604] Occasional timeout issues reported by Customer Support team when accessing Mobile App,NETWORK,1,2024-12-01 11:59:04
Phishing campaign targeting Finance employees - several suspicious emails reported,SECURITY,2,2024-11-15 23:50:04
ATTENTION: Backup job failures for Oracle database - observed for last intermittent runs,DATABASE,2,2024-12-27 10:14:04
Low-risk vulnerability detected in Inventory test environment,SECURITY,1,2024-12-15 17:22:04
PRIORITY: Critical failure of load balancer in Sidi Bouzid causing total service disruption,NETWORK,4,2025-01-08 17:30:04
INC603344: Outdated security software on non-critical Chrome OS devices,SECURITY,1,2024-11-18 08:35:04
Slow query performance affecting specific reports in ERP - Oracle issue,DATABASE,2,2024-12-27 06:02:04
INC674061: Mobile app UI rendering issues on POS Terminal devices after recent update,SOFTWARE,2,2024-12-06 15:23:04
Single disk showing early warning signs in RAID 1 array - no data at risk,HARDWARE,1,2025-01-22 03:20:04
Credential stuffing attack successfully compromised multiple user accounts,SECURITY,4,2024-11-18 02:06:04
Physical server crash affecting HRMS in Sfax datacenter,HARDWARE,3,2024-12-10 00:07:04
Ref #4365: Keyboard and mouse malfunction reports from multiple users in HR,HARDWARE,1,2025-01-31 15:47:04
Brute force attacks against Inventory administration interface - encountered from 192.168.1.x,SECURITY,3,2024-12-25 17:59:04
Ref #7593: Software update problems on macOS fleet - identified by R&D,SOFTWARE,2,2024-11-16 06:05:04
Intermittent connection drops to MySQL database during peak hours,DATABASE,2,2025-01-15 21:30:04
Minor security misconfiguration on proxy server in Gafsa office,SECURITY,1,2025-01-26 02:01:04
Routine replacement needed for aging workstations in HR department,HARDWARE,1,2024-12-18 08:50:04
Significant query performance degradation in Redis during scheduled maintenance,DATABASE,3,2025-01-10 13:43:04
[Ticket #71496] ALERT: Minor packet drops on subnet 172.31.0.0/24 in Souuse office,NETWORK,1,2025-01-17 18:59:04
URGENT: Unauthorizgd access attempts detected from Tunis IP addresses,SECURITY,3,2025-02-05 06:19:04
Degraded performance on router at Bizerte - tickets from Legal,NETWORK,2,2025-01-22 23:44:04
Active data breach detected - unauthorized access to persistent systems confirmed,SECURITY,4,2024-11-18 12:22:04
Memory leak identified in CRM affecting system stability after 2024-11-16 01:04:04 uptime,SOFTWARE,3,2024-11-16 01:04:04
Expired SSL certificates alert for Mobile App - renewal required within 7 days,SECURITY,2,2025-02-04 11:12:04
Non-critical network alert from monitoring system for Nabeul guest network,NETWORK,1,2024-11-25 16:25:04
[Ticket #18811] Non-critical network alert from monitoring system for Gafsa guest network,NETWORK,1,2025-01-28 08:03:04
Slow query performance affecting specific reports in Mobile App - SQL Server issue,DATABASE,2,2025-01-26 05:13:04
Minor functionality issues in Inventory reported by Sales team,SOFTWARE,2,2024-12-19 07:08:04
Suspicious activity detected on privileged account in HRMS system,SECURITY,3,2025-01-23 17:21:04
Ref #2453: URGENT: Major data corruption issue in HRMS database - service completely down,SOFTWARE,4,2024-12-10 16:29:04
[Ticket #19767] URGENT: Performance slowdown in CRM during specific operations - encountered by users,SOFTWARE,2,2024-11-22 01:30:04
Hardware errors on Finance department's Android devices - moderate impact,HARDWARE,3,2025-02-01 05:34:04
INC547270: Printer fleet connectivity issues in Kairouan office affecting Customer Support,HARDWARE,2,2024-12-19 22:28:04
Critical failure of proxy server in Monastir causing total service disruption,NETWORK,4,2025-01-03 23:59:04
Aging hardware alert for email server supporting HRMS - replacement needed,HARDWARE,2,2025-01-03 08:31:04
URGENT: Malware detected on multiple endpoints in R&D department,SECURITY,3,2024-12-05 05:05:04
PRIORITY: Network saturation during month-end processing affecting Operations workflows,NETWORK,2,2024-12-29 03:06:04
Minor functionality issues in Customer Portal reported by Marketing team,SOFTWARE,2,2024-12-11 04:44:04
Printer fleet connectivity issues in El Kef office affecting Customer Support,HARDWARE,2,2025-01-02 06:18:04
PRIORITY: Minor security misconfiguration on proxy server in Hammamet office,SECURITY,1,2025-01-10 02:28:04
Potential data leak from HRMS - unusual access patterns encountered,SECURITY,3,2024-12-02 06:35:04
Degraded performance on firewall at Tataouine - tickets from Finance,NETWORK,2,2024-11-27 01:52:04
Non-critical bug in ERP affecting specific workflows IN Operations,SOFTWARE,2,2024-12-29 02:26:04
VPN concentrator performance degradation affecting Sales team workflows,NETWORK,3,2025-01-24 02:31:04
Intermittent network drops affecting intermittent percentage of users in Sidi Bouzid,NETWORK,3,2025-01-14 03:10:04
Application crashes occurring on Inventory during peak usage hours,SOFTWARE,3,2024-12-15 11:32:04
ALERT: Cosmetic UI issues in Dashboard on Chrome OS platform - no functional impact,SOFTWARE,1,2024-11-17 09:08:04
Legacy system printing glitches in Ben Arous office - only affecting Finance,SOFTWARE,1,2025-02-13 07:56:04
Routine replacement needed for aging workstations in Executive department,HARDWARE,1,2024-12-10 09:07:04
Ref #8228: Single router showing early warning signs in Tozeur facility,NETWORK,1,2024-12-15 01:18:04
[Ticket #34229] ALERT: Non-essential module showing errors in Analytics Platform - doesn't affect core functions,SOFTWARE,1,2024-11-21 13:52:04
Ref #4229: Non-critical disk errors on application server - SMART warnings noted,HARDWARE,2,2024-12-31 15:51:04
INC338509: Minor security misconfiguration on switch in Mahdia office,SECURITY,1,2024-12-07 02:42:04
Gradual growth in database size requiring future capacity planning - Oracle,DATABASE,1,2024-12-18 20:38:04
Major data corruption issue in CRM database - service completely down,SOFTWARE,4,2025-01-21 02:25:04
Minor security misconfiguration on VPN concentrator in Kairouan office,SECURITY,1,2025-01-22 18:55:04
Warning messages appearing in CRM logs - no user impact observed,SOFTWARE,1,2025-02-12 17:34:04
Brute force attacks against Customer Portal administration interface - noted from 172.16.30.x,SECURITY,3,2024-11-27 23:26:04
Minor alert notifications from monitoring system for Analytics Platform services,SOFTWARE,1,2024-12-02 20:18:04
Non-critical bug in CRM affecting specific workflows in Executive,SOFTWARE,2,2024-12-17 04:49:04
Outdated security software on non-critical Windows devices,SECURITY,1,2024-11-25 12:17:04
Database replication lag exceeding thresholds on MySQL cluster,DATABASE,3,2024-12-19 23:22:04
INC807217: Occasional timeout issues reported by IT team when ACCESSING Analytics Platform,NETWORK,1,2024-11-23 12:51:04
Major connectivity loss across all Sidi Bouzid offices - no access to core services,NETWORK,4,2025-02-06 03:35:04
Ref #3567: Minor alert notifications from monitoring system for Dashboard services,SOFTWARE,1,2025-01-16 21:00:04
INC289965: Performance slowdown in HRMS during specific operations - noted by users,SOFTWARE,2,2024-11-21 13:12:04
Network saturation during year-end closing affecting Operations workflows,NETWORK,2,2024-12-11 05:43:04
ALERT: Brute force attacks against Dashboard administration interface - noted from 172.31.0.x,SECURITY,3,2025-01-06 20:18:04
Disk subsystem errors on backup server in Hammamet - detected multiple errors,HARDWARE,3,2024-12-20 16:37:04
Storage space critical on Oracle database servers - immediate cleanup needed,DATABASE,3,2024-12-24 14:52:04
URGENT: Catastrophic failure in operating system on web server - identified at 2025-01-31 09:24:04,SOFTWARE,4,2025-01-31 09:24:04
[Ticket #88759] Minor index fragmentation issues in Elasticsearch - scheduled optimization recommended,DATABASE,1,2024-12-09 00:29:04
Non-critical network alert from monitoring system for Mahdia guest network,NETWORK,1,2024-12-31 14:21:04
Critical application authentication failures for Dashboard - all users affected,SOFTWARE,4,2024-12-25 06:38:04
URGENT: Single switch showing early warning signs in Nabeul facility,NETWORK,1,2024-11-22 17:36:04
Software licensing issue causing service interruption for CRM users,SOFTWARE,3,2024-12-19 23:48:04
Intermittent connection drops to DynamoDB database during peak hours,DATABASE,2,2025-01-14 10:30:04
INC136643: Projector system issues in El Kef conference rooms - Operations reported,HARDWARE,1,2024-12-25 19:56:04
INC142248: Minor constraint violations detected in Elasticsearch after recent data import,DATABASE,2,2025-01-14 06:35:04
ALERT: Minor security misconfiguration ON firewall in Kairouan office,SECURITY,1,2024-11-23 22:03:04
Expired ssl certificates alert for Analytics Platform - renewal required within 7 days,SECURITY,2,2025-01-03 05:27:04
Physical server crash affecting Customer Portal in Nabeul datacdnter,HARDWARE,3,2024-11-28 07:11:04
INC404845: PRIORITY: Network saturation during peak hours affecting Customer Support workflows,NETWORK,2,2024-12-29 00:39:04
Minor index fragmentation issues in Elasticsearch - scheduled optimization recommended,DATABASE,1,2024-12-20 06:28:04
Low-risk vulnerability detected in Payroll test environment,SECURITY,1,2024-11-28 05:08:04
Degraded performance on router at Tozeur - tickets from Finance,NETWORK,2,2024-11-15 20:21:04
Non-critical bug in Mobile App affecting specific workflows in IT,SOFTWARE,2,2024-12-17 12:17:04
DNS resolution delays for internal applications - primarily affecting Inventory,NETWORK,1,2025-01-21 08:29:04
Keyboard and mouse malfunction reports from multiple users in Marketing,HARDWARE,1,2025-01-01 12:53:04
End-of-life hardware alert for non-critical email server in Gabès,HARDWARE,1,2024-12-19 01:18:04
Ref #6513: Storage space critical on Redis database servers - immediate cleanup needed,DATABASE,3,2024-11-17 21:53:04
Non-critical disk errors on email server - SMART warnings detected,HARDWARE,2,2024-12-30 13:31:04
Brute force attacks against ERP administration interface - detected from 10.0.0.x,SECURITY,3,2025-02-08 09:32:04
Software licensing issue causing service interruption for Dashboard users,SOFTWARE,3,2025-02-11 19:16:04
Mobile app UI rendering issues on POS Terminal devices after recent update,SOFTWARE,2,2024-12-13 04:07:04
INC495302: Performance slowdown in Inventory during specific operations - reported by users,SOFTWARE,2,2024-12-17 20:37:04
Single VPN concentrator showing early warning signs in Tunis facility,NETWORK,1,2025-01-14 09:39:04
Security advisory issued for CRM - patch available but no active exploits,SECURITY,1,2024-12-11 20:04:04
Non-critical network alert from monitoring system for Sfax guest network,NETWORK,1,2025-01-26 10:21:04
Network saturation during peak hours affecting HR workflows,NETWORK,2,2024-12-20 07:53:04
Aging hardware alert for virtual host supporting Customer Portal - replacement needed,HARDWARE,2,2024-12-27 11:40:04
Non-critical disk errors on file server - SMART warnings detected,HARDWARE,2,2024-12-23 08:52:04
[Ticket #21794] Catastrophic faioure in operating system on database server - encountered at 2024-11-20 16:42:04,SOFTWARE,4,2024-11-20 16:42:04
Anomalous network traffic detected between Sidi Bouzid office and unknown external IPs,SECURITY,2,2024-11-19 16:38:04
ALERT: Unauthorized access attempts detected from Kairouan IP addresses,SECURITY,3,2025-01-03 10:53:04
PRIORITY: Minor index fragmentation issues in Oracle - scheduled optimization recommended,DATABASE,1,2025-01-28 14:52:04
Aging hardware alert for domain controller supporting ERP - replacement needed,HARDWARE,2,2024-12-18 18:07:04
[Ticket #48595] Single load balancer showing early warning signs in Tozeur facility,NETWORK,1,2024-12-01 09:11:04
Performance slowdown in CRM during specific operations - noted by users,SOFTWARE,2,2025-01-30 01:36:04
Minor security misconfiguration on VPN concentrator in Djerba office,SECURITY,1,2024-12-10 10:51:04
