ticket_id,description,category,subcategory,priority,created_timestamp,status,requester_type
SEC636583,vertical privilege escalation - impacting sensitive data - discovered during audit,ACCESS_CONTROL,Privilege Escalation,3,2025-02-03 09:56:48,In Progress,Security Tool
SEC223652,suspicious activity - impacting critical data - reported by EDR,HIJACKING,Browser Hijacking,3,2025-02-07 02:32:48,Contained,SOC Analyst
SEC601060,security violation - impacting critical data - discovered during audit,SPOOFING,MAC Spoofing,4,2025-02-01 07:47:48,In Progress,SOC Analyst
SEC393547,suspicious password reset - degrading service performance - detected by IDS,HIJACKING,Account Hijacking,4,2025-01-30 07:55:48,Contained,Security Tool
SEC891903,backup deletion attempt - impacting sensitive data - discovered during audit - Encrypted Files: 3877,MALWARE,Ransomware,4,2025-02-21 02:34:48,Open,Security Engineer
SEC728339,unauthorized session usage - degrading service performance - reported by user - Session ID: 918ce6b743cf97ba,HIJACKING,Session Hijacking,4,2025-02-19 16:09:48,Contained,Network Admin
SEC676746,potential compromise - degrading service performance - identified by threat hunting,MALWARE,Trojan,3,2025-02-09 10:30:48,Open,Network Admin
SEC352854,known ransomware signature - affecting 44 systems - discovered during audit - Bitcoin Address: 2623a03af4470d2b3e89a7b3c58396a04b51abcc,MALWARE,Ransomware,4,2025-02-12 09:57:48,Open,Security Engineer
SEC933685,potential compromise - compromising 1 user accounts - detected by IDS,ACCESS_CONTROL,Authorization Bypass,4,2025-02-19 03:00:48,Escalated,Network Admin
SEC643327,suspicious activity - impacting sensitive data - detected by IDS,SPOOFING,DHCP Spoofing,4,2025-01-22 08:56:48,Resolved,Security Engineer
SEC414089,man-in-the-middle session intercept - degrading system performance - flagged by SIEM,HIJACKING,Session Hijacking,3,2025-02-06 21:43:48,Open,Security Tool
SEC722160,suspicious activity - impacting financial data - reported by EDR,ACCESS_CONTROL,Authorization Bypass,4,2025-02-19 12:41:48,Escalated,Network Admin
SEC671186,security violation - impacting financial data - reported by EDR,ACCESS_CONTROL,Authorization Bypass,4,2025-02-07 02:56:48,Open,Security Tool
SEC975094,suspicious activity - affecting 34 systems - identified by SOC,ACCESS_CONTROL,MFA Compromise,2,2025-01-30 19:10:48,In Progress,System Admin
SEC325645,potential compromise - compromising 27 user accounts - reported by user,HIJACKING,Click Hijacking,3,2025-02-08 22:53:48,Contained,SOC Analyst
SEC120380,suspicious activity - compromising 42 user accounts - discovered during audit,ACCESS_CONTROL,Authorization Bypass,4,2025-02-05 17:34:48,Open,Security Engineer
SEC247154,security violation - affecting 32 systems - identified by threat hunting,MALWARE,Worm,4,2025-02-09 06:57:48,Escalated,Network Admin
SEC201755,ARP cache poisoning detected - degrading application performance - detected by IDS,SPOOFING,ARP Spoofing,2,2025-01-23 07:03:48,Resolved,Security Engineer
SEC216071,suspicious activity - degrading system performance - identified by SOC,ACCESS_CONTROL,Access Bypass,3,2025-02-03 09:29:48,Escalated,Security Tool
SEC906628,suspicious email origin - affecting 55 systems - caught by firewall,SPOOFING,Email Spoofing,4,2025-02-20 02:31:48,In Progress,Network Admin
SEC559595,security violation - affecting 41 systems - detected by IDS,MALWARE,Trojan,4,2025-02-10 07:00:48,Escalated,System Admin
SEC396175,potential compromise - compromising 34 user accounts - reported by user,MALWARE,Cryptominer,2,2025-02-19 16:19:48,Contained,SOC Analyst
SEC264127,security violation - affecting 76 systems - identified by SOC,HIJACKING,Click Hijacking,2,2025-01-28 03:54:48,Contained,Security Tool
SEC659682,potential compromise - compromising 1 user accounts - reported by user,MALWARE,Trojan,4,2025-01-23 07:53:48,Open,Security Tool
SEC260243,potential compromise - compromising 30 user accounts - identified by SOC,SPOOFING,GPS Spoofing,1,2025-02-17 14:30:48,In Progress,Security Tool
SEC489541,suspicious activity - compromising 17 user accounts - identified by threat hunting,SPOOFING,GPS Spoofing,3,2025-01-31 08:03:48,Resolved,System Admin
SEC239804,security violation - degrading application performance - identified by SOC,ACCESS_CONTROL,Authorization Bypass,4,2025-02-11 16:53:48,Escalated,Network Admin
SEC112557,potential compromise - impacting customer data - reported by EDR,HIJACKING,Click Hijacking,2,2025-02-17 19:13:48,Contained,Security Engineer
SEC564178,security violation - degrading system performance - identified by SOC,ACCESS_CONTROL,Authorization Bypass,4,2025-02-05 18:00:48,Resolved,SOC Analyst
SEC191516,security violation - compromising 22 user accounts - identified by SOC,MALWARE,Cryptominer,2,2025-02-11 03:04:48,Escalated,Network Admin
SEC717669,potential compromise - compromising 21 user accounts - detected by IDS,ACCESS_CONTROL,Authorization Bypass,3,2025-01-27 09:04:48,In Progress,Security Engineer
SEC149389,security violation - compromising 40 user accounts - identified by threat hunting,MALWARE,Adware,4,2025-02-09 19:55:48,Escalated,Security Engineer
SEC552434,multiple authentication failures - affecting 20 systems - detected by IDS,HIJACKING,Account Hijacking,3,2025-01-31 02:06:48,In Progress,Security Engineer
SEC184647,suspicious activity - degrading network performance - reported by user,MALWARE,Worm,4,2025-02-16 15:58:48,Open,SOC Analyst
SEC122375,authentication mechanism bypass - affecting 81 systems - reported by EDR,ACCESS_CONTROL,Authentication Bypass,4,2025-02-21 09:20:48,Escalated,Security Engineer
SEC537146,service account compromise - affecting 76 systems - reported by EDR,ACCESS_CONTROL,Privilege Escalation,2,2025-02-06 04:47:48,Contained,System Admin
SEC367370,suspicious driver loading - degrading application performance - identified by threat hunting,MALWARE,Rootkit,2,2025-02-06 16:19:48,In Progress,SOC Analyst
SEC524211,admin rights abuse - affecting 31 systems - caught by firewall,ACCESS_CONTROL,Privilege Escalation,4,2025-02-07 13:00:48,Open,System Admin
SEC964956,security violation - degrading application performance - reported by EDR,HIJACKING,Browser Hijacking,3,2025-02-15 11:09:48,Open,Security Engineer
SEC733257,security violation - affecting 77 systems - reported by user,HIJACKING,Click Hijacking,4,2025-02-16 00:07:48,In Progress,System Admin
SEC589298,SPF verification failure - impacting financial data - reported by EDR,SPOOFING,Email Spoofing,1,2025-02-06 08:13:48,Open,Network Admin
SEC972801,security violation - impacting sensitive data - flagged by SIEM,ACCESS_CONTROL,Authorization Bypass,3,2025-02-10 02:49:48,Escalated,Security Tool
SEC546806,potential compromise - affecting 94 systems - reported by user,MALWARE,Adware,3,2025-01-30 04:18:48,Resolved,Security Tool
SEC607664,ransomware communication pattern - affecting 87 systems - detected by IDS - Extension: .90c6c0b3,MALWARE,Ransomware,4,2025-02-12 05:25:48,Contained,Security Tool
SEC981196,admin rights abuse - impacting customer data - caught by firewall,ACCESS_CONTROL,Privilege Escalation,4,2025-02-20 12:03:48,Open,Security Tool
SEC309938,session replay attack - affecting 89 systems - reported by user - User Agent: Mozilla/1.0,HIJACKING,Session Hijacking,3,2025-01-30 13:30:48,Contained,System Admin
SEC975414,suspicious activity - affecting 53 systems - identified by threat hunting,ACCESS_CONTROL,Authorization Bypass,4,2025-01-24 15:38:48,Escalated,System Admin
SEC685021,session token compromise - impacting financial data - detected by IDS - User Agent: Mozilla/3.0,HIJACKING,Session Hijacking,3,2025-02-14 10:24:48,Contained,System Admin
SEC673247,potential compromise - compromising 35 user accounts - flagged by SIEM,HIJACKING,Browser Hijacking,4,2025-02-08 20:21:48,Open,Security Engineer
SEC607146,password hash exploitation - impacting critical data - identified by threat hunting,ACCESS_CONTROL,Authentication Bypass,3,2025-02-02 10:11:48,In Progress,Security Engineer
SEC706325,suspicious activity - compromising 2 user accounts - reported by user,ACCESS_CONTROL,Access Bypass,4,2025-02-01 05:34:48,Contained,Network Admin
SEC643927,potential compromise - affecting 66 systems - identified by threat hunting,MALWARE,Adware,3,2025-01-28 04:26:48,Contained,System Admin
SEC836552,potential compromise - degrading system performance - reported by EDR,ACCESS_CONTROL,Access Bypass,3,2025-02-01 05:54:48,Escalated,SOC Analyst
SEC452282,potential compromise - compromising 35 user accounts - identified by threat hunting,HIJACKING,Click Hijacking,4,2025-02-14 11:07:48,Resolved,SOC Analyst
SEC546111,man-in-the-middle attempt via ARP - impacting financial data - detected by IDS,SPOOFING,ARP Spoofing,1,2025-02-04 06:32:48,In Progress,SOC Analyst
SEC180844,gratuitous ARP detected - impacting customer data - flagged by SIEM,SPOOFING,ARP Spoofing,3,2025-01-28 01:56:48,Resolved,Security Tool
SEC908754,security violation - affecting 11 systems - reported by user,SPOOFING,MAC Spoofing,3,2025-01-31 22:10:48,In Progress,Security Tool
SEC660426,traffic redirection detected - compromising 9 user accounts - identified by threat hunting,HIJACKING,Network Hijacking,4,2025-02-08 03:28:48,Contained,Network Admin
SEC750369,unusual login pattern - compromising 43 user accounts - identified by threat hunting,HIJACKING,Account Hijacking,4,2025-01-31 22:48:48,Contained,System Admin
SEC731807,DNS resolver compromise attempt - impacting critical data - reported by user,SPOOFING,DNS Spoofing,4,2025-02-16 21:02:48,Resolved,System Admin
SEC793627,authentication token manipulation - degrading application performance - reported by EDR,ACCESS_CONTROL,Authentication Bypass,3,2025-01-21 20:28:48,In Progress,Security Tool
SEC405995,DNS amplification attack - compromising 50 user accounts - flagged by SIEM,SPOOFING,DNS Spoofing,3,2025-02-20 16:20:48,Open,SOC Analyst
SEC308321,suspicious activity - affecting 46 systems - discovered during audit,ACCESS_CONTROL,Authorization Bypass,4,2025-02-17 18:13:48,Resolved,System Admin
SEC803248,ARP cache poisoning detected - degrading system performance - identified by SOC,SPOOFING,ARP Spoofing,1,2025-02-17 16:51:48,Resolved,Security Engineer
SEC608722,credential stuffing attack - compromising 25 user accounts - detected by IDS,HIJACKING,Account Hijacking,3,2025-02-01 16:59:48,Escalated,Security Engineer
SEC331078,SPF verification failure - degrading service performance - identified by threat hunting,SPOOFING,Email Spoofing,2,2025-02-01 10:41:48,Open,Security Engineer
SEC189717,suspicious activity - degrading application performance - reported by EDR,HIJACKING,Browser Hijacking,3,2025-01-23 00:35:48,Open,Security Tool
SEC516205,suspicious activity - impacting critical data - discovered during audit,HIJACKING,Click Hijacking,2,2025-02-06 13:39:48,Open,SOC Analyst
SEC797245,hidden file system activity - degrading system performance - detected by IDS,MALWARE,Rootkit,2,2025-02-13 04:44:48,Escalated,Security Tool
SEC987698,system file manipulation - compromising 5 user accounts - flagged by SIEM,MALWARE,Rootkit,4,2025-02-03 15:38:48,In Progress,Security Tool
SEC816591,browser history theft - affecting 76 systems - discovered during audit,MALWARE,Spyware,2,2025-02-16 04:09:48,Contained,System Admin
SEC142930,suspicious IP routing behavior - affecting 38 systems - flagged by SIEM - Packet count: 5170,SPOOFING,IP Spoofing,2,2025-01-28 20:17:48,Contained,Network Admin
SEC810580,suspicious activity - compromising 16 user accounts - identified by SOC,ACCESS_CONTROL,MFA Compromise,3,2025-01-22 10:38:48,Open,Security Engineer
SEC666145,security violation - affecting 23 systems - identified by SOC,MALWARE,Cryptominer,3,2025-02-04 22:27:48,Escalated,Security Engineer
SEC586127,forged sender address - degrading service performance - identified by threat hunting,SPOOFING,Email Spoofing,2,2025-02-17 15:11:48,In Progress,SOC Analyst
SEC950806,hidden file system activity - impacting financial data - caught by firewall,MALWARE,Rootkit,4,2025-02-15 14:23:48,Escalated,System Admin
SEC773344,potential compromise - degrading network performance - reported by user,MALWARE,Adware,4,2025-01-31 16:11:48,In Progress,SOC Analyst
SEC467043,suspicious activity - compromising 47 user accounts - identified by SOC,ACCESS_CONTROL,Access Bypass,4,2025-02-07 16:47:48,Resolved,Security Tool
SEC339016,security violation - compromising 42 user accounts - identified by SOC,MALWARE,Cryptominer,4,2025-01-28 08:21:48,Open,Network Admin
SEC992232,password hash exploitation - degrading application performance - identified by SOC,ACCESS_CONTROL,Authentication Bypass,3,2025-02-11 09:33:48,Escalated,SOC Analyst
SEC746225,account takeover attempt - impacting financial data - identified by threat hunting,HIJACKING,Account Hijacking,4,2025-02-07 03:21:48,In Progress,Network Admin
SEC872684,suspicious activity - compromising 33 user accounts - identified by threat hunting,HIJACKING,Browser Hijacking,3,2025-02-06 04:29:48,In Progress,Network Admin
SEC928276,admin rights abuse - compromising 1 user accounts - flagged by SIEM,ACCESS_CONTROL,Privilege Escalation,3,2025-02-10 04:15:48,Escalated,Network Admin
SEC343774,suspicious activity - degrading application performance - identified by threat hunting,SPOOFING,MAC Spoofing,2,2025-02-20 17:17:48,Resolved,Network Admin
SEC997575,security violation - compromising 40 user accounts - detected by IDS,HIJACKING,Browser Hijacking,4,2025-01-29 16:19:48,Resolved,System Admin
SEC351881,suspicious encryption activity - compromising 10 user accounts - discovered during audit - Bitcoin Address: 833afcb0fb547ca34d1ff40fde1c379decc748ce,MALWARE,Ransomware,3,2025-02-10 02:44:48,Escalated,Network Admin
SEC105626,suspicious password reset - compromising 17 user accounts - identified by SOC,HIJACKING,Account Hijacking,4,2025-01-27 19:41:48,Resolved,System Admin
SEC769316,suspicious activity - compromising 30 user accounts - detected by IDS,MALWARE,Worm,4,2025-02-10 01:24:48,In Progress,Security Engineer
SEC188429,security violation - degrading application performance - identified by threat hunting,MALWARE,Trojan,4,2025-02-17 16:13:48,In Progress,Network Admin
SEC962378,potential compromise - impacting critical data - caught by firewall,SPOOFING,GPS Spoofing,4,2025-02-19 05:34:48,Escalated,System Admin
SEC596691,potential compromise - impacting financial data - caught by firewall,MALWARE,Cryptominer,4,2025-02-04 05:48:48,In Progress,SOC Analyst
SEC896359,suspicious activity - compromising 5 user accounts - reported by EDR,SPOOFING,DHCP Spoofing,4,2025-02-15 16:11:48,In Progress,System Admin
SEC528372,security violation - compromising 26 user accounts - discovered during audit,SPOOFING,GPS Spoofing,3,2025-02-01 10:46:48,Contained,Network Admin
SEC495006,suspicious activity - affecting 28 systems - reported by EDR,ACCESS_CONTROL,Authorization Bypass,4,2025-02-09 10:31:48,In Progress,Security Tool
SEC415172,ARP cache poisoning detected - affecting 45 systems - reported by EDR,SPOOFING,ARP Spoofing,3,2025-02-13 05:59:48,Resolved,SOC Analyst
SEC620437,SSL strip attack detected - compromising 46 user accounts - reported by EDR,HIJACKING,Network Hijacking,3,2025-02-18 11:38:48,Resolved,SOC Analyst
SEC385468,security violation - impacting customer data - identified by threat hunting,ACCESS_CONTROL,Authorization Bypass,3,2025-02-01 02:58:48,Escalated,System Admin
SEC453486,session replay attack - affecting 85 systems - reported by user,HIJACKING,Session Hijacking,4,2025-02-05 10:01:48,Resolved,Security Tool
SEC247601,potential compromise - affecting 8 systems - discovered during audit,HIJACKING,Browser Hijacking,4,2025-02-08 21:05:48,In Progress,System Admin
SEC469372,DNS resolver compromise attempt - degrading system performance - flagged by SIEM,SPOOFING,DNS Spoofing,4,2025-02-19 00:23:48,Contained,Security Tool
SEC907829,backup deletion attempt - degrading service performance - identified by SOC - Encrypted Files: 3920,MALWARE,Ransomware,4,2025-01-31 11:27:48,Open,Network Admin
SEC378511,potential compromise - compromising 26 user accounts - flagged by SIEM,HIJACKING,Browser Hijacking,3,2025-02-18 14:06:48,Contained,System Admin
SEC799257,unauthorized gateway change - impacting critical data - reported by user,HIJACKING,Network Hijacking,4,2025-02-18 19:59:48,Contained,Network Admin
SEC721064,source IP address forgery detected - affecting 35 systems - flagged by SIEM,SPOOFING,IP Spoofing,3,2025-02-16 18:18:48,Resolved,Security Engineer
SEC483122,credential harvesting attempt - degrading network performance - detected by IDS,MALWARE,Spyware,4,2025-02-16 03:52:48,In Progress,SOC Analyst
SEC480743,sudo abuse detected - compromising 22 user accounts - caught by firewall,ACCESS_CONTROL,Privilege Escalation,2,2025-02-06 10:11:48,Resolved,SOC Analyst
SEC108970,security violation - degrading network performance - detected by IDS,SPOOFING,GPS Spoofing,4,2025-02-03 15:51:48,Open,SOC Analyst
SEC755093,potential compromise - impacting financial data - reported by user,HIJACKING,Click Hijacking,4,2025-01-21 19:41:48,Escalated,SOC Analyst
SEC418251,suspicious DNS response - impacting customer data - caught by firewall,SPOOFING,DNS Spoofing,4,2025-01-29 04:14:48,Resolved,System Admin
SEC923537,security violation - degrading system performance - identified by threat hunting,MALWARE,Cryptominer,4,2025-01-31 20:08:48,Escalated,System Admin
SEC497464,admin rights abuse - affecting 23 systems - caught by firewall,ACCESS_CONTROL,Privilege Escalation,4,2025-02-11 10:40:48,Escalated,Security Tool
SEC473988,potential compromise - compromising 3 user accounts - identified by SOC,MALWARE,Cryptominer,3,2025-01-30 21:11:48,Contained,System Admin
SEC648104,suspicious activity - compromising 1 user accounts - discovered during audit,MALWARE,Trojan,3,2025-02-06 17:13:48,Contained,Security Engineer
SEC879583,network path manipulation - degrading network performance - reported by EDR,HIJACKING,Network Hijacking,3,2025-02-20 22:39:48,Resolved,System Admin
SEC349695,suspicious activity - affecting 81 systems - flagged by SIEM,MALWARE,Worm,4,2025-01-26 01:30:48,Resolved,Security Tool
SEC680819,session validation failure - compromising 16 user accounts - discovered during audit - User Agent: Mozilla/2.0,HIJACKING,Session Hijacking,4,2025-02-13 21:00:48,Resolved,Network Admin
SEC157327,potential compromise - affecting 5 systems - identified by threat hunting,MALWARE,Trojan,4,2025-02-16 04:46:48,In Progress,Security Tool
SEC434855,unauthorized account access - impacting sensitive data - detected by IDS,HIJACKING,Account Hijacking,4,2025-02-18 18:57:48,Contained,SOC Analyst
SEC330015,malicious DNS redirection - degrading service performance - detected by IDS,SPOOFING,DNS Spoofing,4,2025-02-19 10:26:48,Contained,Security Engineer
SEC673207,suspicious activity - affecting 74 systems - reported by user,HIJACKING,Browser Hijacking,4,2025-01-29 02:22:48,Resolved,Security Tool
SEC131582,security violation - affecting 20 systems - discovered during audit,ACCESS_CONTROL,MFA Compromise,2,2025-02-06 16:35:48,Contained,SOC Analyst
SEC952842,man-in-the-middle attempt via ARP - affecting 44 systems - identified by threat hunting,SPOOFING,ARP Spoofing,2,2025-02-17 22:07:48,Resolved,Network Admin
SEC169175,firewall detected IP spoofing pattern - affecting 66 systems - caught by firewall - Source IP: 66.181.141.69,SPOOFING,IP Spoofing,4,2025-02-06 05:00:48,In Progress,Security Engineer
SEC705024,suspicious activity - compromising 35 user accounts - identified by SOC,MALWARE,Keylogger,4,2025-02-04 22:51:48,Contained,Security Tool
SEC445902,email authentication failure - compromising 39 user accounts - identified by SOC,SPOOFING,Email Spoofing,4,2025-01-22 01:04:48,Resolved,System Admin
SEC327410,credential bypass attempt - compromising 21 user accounts - detected by IDS,ACCESS_CONTROL,Authentication Bypass,4,2025-02-11 02:30:48,Escalated,Security Engineer
SEC134611,fake DNS records detected - compromising 35 user accounts - flagged by SIEM,SPOOFING,DNS Spoofing,1,2025-02-07 20:20:48,Resolved,Network Admin
SEC295926,potential compromise - compromising 36 user accounts - discovered during audit,MALWARE,Worm,4,2025-02-03 10:44:48,Contained,Security Engineer
SEC940469,multiple authentication failures - affecting 44 systems - reported by EDR,HIJACKING,Account Hijacking,4,2025-01-21 22:43:48,Contained,System Admin
SEC932310,security violation - affecting 63 systems - flagged by SIEM,SPOOFING,GPS Spoofing,3,2025-02-03 22:10:48,In Progress,Network Admin
SEC393294,DMARC policy violation - degrading application performance - detected by IDS,SPOOFING,Email Spoofing,3,2025-02-16 01:33:48,Open,Security Tool
SEC282494,unauthorized gateway change - impacting customer data - reported by EDR,HIJACKING,Network Hijacking,4,2025-02-18 05:00:48,Contained,Network Admin
SEC250557,ransomware communication pattern - degrading system performance - reported by user - Extension: .f51e9d06,MALWARE,Ransomware,4,2025-01-28 16:46:48,Escalated,Network Admin
SEC846148,suspicious activity - affecting 50 systems - reported by user,SPOOFING,MAC Spoofing,3,2025-01-23 03:46:48,Resolved,Security Tool
SEC232092,session token compromise - degrading network performance - identified by SOC - Cookie Length: 128,HIJACKING,Session Hijacking,3,2025-02-15 09:30:48,In Progress,Network Admin
SEC290298,potential compromise - affecting 19 systems - identified by SOC,ACCESS_CONTROL,Authorization Bypass,4,2025-01-31 15:14:48,Escalated,Security Engineer
SEC159757,potential compromise - impacting customer data - reported by EDR,SPOOFING,DHCP Spoofing,2,2025-01-22 17:07:48,Open,System Admin
SEC628312,firewall detected IP spoofing pattern - affecting 43 systems - detected by IDS,SPOOFING,IP Spoofing,2,2025-02-18 06:26:48,Contained,SOC Analyst
SEC646143,suspicious IP routing behavior - degrading system performance - identified by SOC - Protocol: TCP,SPOOFING,IP Spoofing,2,2025-02-18 13:07:48,In Progress,Network Admin
SEC726746,potential compromise - impacting sensitive data - reported by user,SPOOFING,DHCP Spoofing,2,2025-02-17 16:52:48,Contained,SOC Analyst
SEC122403,security violation - compromising 13 user accounts - flagged by SIEM,SPOOFING,GPS Spoofing,4,2025-02-13 19:16:48,Contained,Network Admin
SEC959701,security violation - compromising 9 user accounts - flagged by SIEM,MALWARE,Adware,4,2025-02-05 08:30:48,Open,SOC Analyst
SEC212656,unauthorized ARP reply - compromising 24 user accounts - flagged by SIEM,SPOOFING,ARP Spoofing,4,2025-02-14 20:41:48,Escalated,System Admin
SEC819468,suspicious activity - affecting 72 systems - reported by user,HIJACKING,Click Hijacking,3,2025-02-06 09:02:48,Escalated,System Admin
SEC526228,suspicious activity - impacting critical data - flagged by SIEM,ACCESS_CONTROL,Authorization Bypass,4,2025-02-04 23:11:48,Escalated,System Admin
SEC398839,potential compromise - affecting 37 systems - identified by SOC,MALWARE,Trojan,3,2025-02-19 11:50:48,In Progress,Security Tool
SEC968128,SYSTEM level escalation - compromising 19 user accounts - reported by EDR,ACCESS_CONTROL,Privilege Escalation,3,2025-02-15 10:12:48,Escalated,Network Admin
SEC518220,packet with spoofed source IP - compromising 31 user accounts - caught by firewall - Packet count: 472,SPOOFING,IP Spoofing,4,2025-02-03 13:38:48,Resolved,Security Tool
SEC432870,network scanning through ARP - impacting critical data - reported by EDR,SPOOFING,ARP Spoofing,3,2025-02-13 12:53:48,Resolved,Security Tool
SEC142466,credential bypass attempt - degrading service performance - reported by user,ACCESS_CONTROL,Authentication Bypass,3,2025-02-06 20:03:48,Open,Security Tool
SEC363822,suspicious activity - impacting critical data - caught by firewall,MALWARE,Cryptominer,4,2025-02-11 23:45:48,Resolved,Network Admin
SEC712054,illegitimate IP source identified - degrading application performance - detected by IDS - Protocol: UDP,SPOOFING,IP Spoofing,4,2025-02-07 19:33:48,Contained,SOC Analyst
SEC770321,potential compromise - affecting 91 systems - identified by SOC,MALWARE,Keylogger,4,2025-02-10 08:04:48,Escalated,Security Tool
