description,category,subcategory,priority
NET ticket: Cloud service connectivity in business connectivity at main office requiring network team attention,NETWORK,Enterprise Services,2
Network emergency: OSI layer 1-3 issue is completely dead - need immediate help! Cause: Link flapping,NETWORK,Connectivity,3
NETWORK: Everything is timing out - cabling infrastructure appears to have Cable disconnection,NETWORK,Physical Connectivity,1
Network notification: Unprecedented problems with corporate network today. Confirmed as Video conferencing service down,NETWORK,Enterprise Services,3
NETWORK ALERT: WiFi coverage gap detected in corporate headquarters wireless AP causing packet drops,NETWORK,WiFi,3
NET performance: Users losing patience with slow CIDR block connection caused by DNS resolution failure,NETWORK,IP Addressing,2
Network support: Been trying to connect to network QoS for hours. Diagnosed as Slow file transfer,NETWORK,Network Performance,3
Network incident: Something's wrong with the WiFi channel - diagnostic confirmed WiFi band interference,NETWORK,WiFi,4
Network notification: Unprecedented problems with business connectivity today. Confirmed as Intranet access issues,NETWORK,Enterprise Services,1
NETOPS: nameserver configuration is crawling! Investigation shows DNS amplification attack,NETWORK,DNS,4
Network support: Been trying to connect to traffic engineering for hours. Diagnosed as Bandwidth saturation,NETWORK,Network Performance,3
Network VPN: network QoS keeps disconnecting every few minutes due to CPU bottleneck on network device,NETWORK,Network Performance,3
NETWORK incident: Ground loop issue related to cabling infrastructure resulting in connection failures at satellite office,NETWORK,Physical Connectivity,1
Urgent network ticket: QoS misconfiguration detected on network throughput at corporate headquarters,NETWORK,Network Performance,3
NET alert: Can't connect to the enterprise application - says 'unreachable' due to Application server network issue,NETWORK,Enterprise Services,2
NET: Can't even load internal sites - physical layer showing signs of Bad network cable,NETWORK,Physical Connectivity,1
NETWORK frustration: This is impacting productivity - DNS zone needs attention! Issue: Recursive query failure,NETWORK,DNS,4
Urgent network ticket: Port physical damage detected on cabling infrastructure at main office,NETWORK,Physical Connectivity,1
"NET: Not sure if it's just one department, but the physical layer has EMI interference",NETWORK,Physical Connectivity,1
NETOPS: name resolution is crawling! Investigation shows Name server unavailable,NETWORK,DNS,4
"NET: Not sure if it's just one department, but the OSI layer 1-3 issue has Link flapping",NETWORK,Connectivity,2
NETOPS: Multiple reports of File sharing service disruption with business connectivity degrading service quality,NETWORK,Enterprise Services,4
Network request: Could IT please check the network fabric? It's very slow due to Port failure,NETWORK,Connectivity,1
NET: Can't even load internal sites - traffic patterns showing signs of CPU bottleneck on network device,NETWORK,Network Performance,2
"NET: Not sure if it's just one department, but the transit network has Link flapping",NETWORK,Connectivity,2
NET-DNS: Getting 'DNS server not found' errors on core routing. Root cause: Network card malfunction,NETWORK,Connectivity,4
"NETWORK URGENT: The network throughput is down, and teams have deadlines! Issue identified as Slow file transfer",NETWORK,Network Performance,4
NET: Can't even load internal sites - transit network showing signs of Network outage,NETWORK,Connectivity,4
NET: Network loop reported in OSI layer 1-3 issue at client site - impacting user connectivity,NETWORK,Connectivity,4
Network ticket: Getting 'no internet access' on all devices connected to patch panel. Root cause: EMI interference,NETWORK,Physical Connectivity,1
NET performance: Users losing patience with slow bandwidth utilization connection caused by Buffer overflow,NETWORK,Network Performance,1
NET access: Can't access shared resources via network fabric - reports 'network error' related to Link flapping,NETWORK,Connectivity,3
"Network operations ticket: Without WiFi channel, departments can't work! Identified as Authentication failure",NETWORK,WiFi,4
NET: Can't even load internal sites - DNS hierarchy showing signs of Split-horizon DNS failure,NETWORK,DNS,3
NET assistance: Having trouble connecting to the IP allocation. Diagnosis shows DHCP server failure,NETWORK,IP Addressing,2
Network VPN: wireless spectrum keeps disconnecting every few minutes due to WPA authentication error,NETWORK,WiFi,4
NET alert: Can't connect to the WiFi SSID - says 'unreachable' due to Access point failure,NETWORK,WiFi,1
Network support: Been trying to connect to network metrics for hours. Diagnosed as Network congestion,NETWORK,Network Performance,1
NETWORK/Physical Connectivity: Network jack damage detected during cabling infrastructure monitoring at corporate headquarters,NETWORK,Physical Connectivity,1
Network notification: Unprecedented problems with WiFi channel today. Confirmed as Authentication failure,NETWORK,WiFi,1
NET inquiry: What's wrong with the enterprise application? Showing symptoms of Unified communications failure,NETWORK,Enterprise Services,4
NETWORK: IP schema keeps dropping every few minutes. Network team confirmed ARP table corruption,NETWORK,IP Addressing,4
Network incident: Something's wrong with the FQDN resolution - diagnostic confirmed Recursive query failure,NETWORK,DNS,2
Urgent network ticket: Bandwidth bottleneck detected on flow control at satellite office,NETWORK,Network Performance,1
Network support: Been trying to connect to network termination for hours. Diagnosed as Connector damage,NETWORK,Physical Connectivity,4
NET ticket: Patch panel failure in patch connections at server room requiring network team attention,NETWORK,Physical Connectivity,4
NET priority: Please fix network metrics ASAP - teams can't work due to Slow file transfer,NETWORK,Network Performance,1
Urgent network ticket: Name server unavailable detected on name resolution at data center,NETWORK,DNS,2
NETWORK/Physical Connectivity: Cable length exceeded detected during physical layer monitoring at main office,NETWORK,Physical Connectivity,3
Network ticket: Getting 'no internet access' on all devices connected to WiFi channel. Root cause: Authentication failure,NETWORK,WiFi,3
Network monitoring alert: Switch hardware failure affecting network termination at main office affecting network performance,NETWORK,Physical Connectivity,3
"NET-Network Performance: The network throughput is experiencing issues, users reporting Protocol performance issues",NETWORK,Network Performance,2
"NET: Not sure if it's just one department, but the nameserver configuration has DNS propagation delay",NETWORK,DNS,2
Network helpdesk: Would you mind looking into the network termination issues? Related to Cross-talk interference,NETWORK,Physical Connectivity,1
NETWORK: Everything is timing out - wireless AP appears to have WiFi throughput degradation,NETWORK,WiFi,3
"NET-IP Addressing: The TCP/IP stack is experiencing issues, users reporting NAT configuration error",NETWORK,IP Addressing,2
NETWORK/IP Addressing: DHCP lease expiration detected during network addressing monitoring at warehouse,NETWORK,IP Addressing,2
Network team: Please help with patch panel problems. Symptoms point to Fiber optic damage,NETWORK,Physical Connectivity,3
NET priority: Please fix network pipe ASAP - teams can't work due to Network congestion,NETWORK,Connectivity,2
NET access: Can't access shared resources via DNS hierarchy - reports 'network error' related to DNS amplification attack,NETWORK,DNS,1
Network notification: Unprecedented problems with network services today. Confirmed as Video conferencing service down,NETWORK,Enterprise Services,4
Network emergency: domain name system is completely dead - need immediate help! Cause: Name server unavailable,NETWORK,DNS,3
Network team: Please help with TCP/IP stack problems. Symptoms point to DHCP server failure,NETWORK,IP Addressing,2
Network incident: Something's wrong with the bandwidth utilization - diagnostic confirmed Slow network response,NETWORK,Network Performance,2
Network request: Could IT please check the name resolution? It's very slow due to DNSSEC validation error,NETWORK,DNS,3
"Network status: IP allocation says 'connected, no internet' because of ARP table corruption",NETWORK,IP Addressing,2
NET access: Can't access shared resources via flow control - reports 'network error' related to Memory buffer exhaustion,NETWORK,Network Performance,2
NETWORK: Everything is timing out - traffic patterns appears to have Buffer overflow,NETWORK,Network Performance,3
NETWORK incident: Network congestion related to traffic engineering resulting in connection failures at manufacturing floor,NETWORK,Network Performance,1
NETWORK: Everything is timing out - network throughput appears to have Protocol performance issues,NETWORK,Network Performance,3
"NET: Not sure if it's just one department, but the IP allocation has DHCP scope depletion",NETWORK,IP Addressing,1
"NETWORK URGENT: The DNS hierarchy is down, and teams have deadlines! Issue identified as Split-horizon DNS failure",NETWORK,DNS,3
NET priority: Please fix DNS hierarchy ASAP - teams can't work due to Split-horizon DNS failure,NETWORK,DNS,2
NETWORK: physical layer keeps dropping every few minutes. Network team confirmed Ground loop issue,NETWORK,Physical Connectivity,3
"NET: Not sure if it's just one department, but the enterprise infrastructure has Database replication lag",NETWORK,Enterprise Services,1
NET priority: Please fix 802.11 protocol ASAP - teams can't work due to WiFi interference,NETWORK,WiFi,2
NET priority: Please fix DNS hierarchy ASAP - teams can't work due to DNS record misconfiguration,NETWORK,DNS,2
Network team: Please help with WAN link problems. Symptoms point to Network outage,NETWORK,Connectivity,1
Network incident: Something's wrong with the WAN link - diagnostic confirmed Port failure,NETWORK,Connectivity,3
NET priority: Please fix enterprise infrastructure ASAP - teams can't work due to SSO service disruption,NETWORK,Enterprise Services,2
NET inquiry: What's wrong with the TCP/IP stack? Showing symptoms of NAT configuration error,NETWORK,IP Addressing,3
NETOPS: copper/fiber link is crawling! Investigation shows Connector damage,NETWORK,Physical Connectivity,3
NETOPS: network services is crawling! Investigation shows Intranet access issues,NETWORK,Enterprise Services,3
NET assistance: Having trouble connecting to the nameserver configuration. Diagnosis shows DNS cache poisoning,NETWORK,DNS,2
NETWORK incident: Default gateway unreachable related to IP allocation resulting in connection failures at server room,NETWORK,IP Addressing,4
NET FYI: Wanted to inform you that the WiFi channel is down because of WiFi coverage gap,NETWORK,WiFi,4
Network team: Please help with WiFi SSID problems. Symptoms point to Hidden node problem,NETWORK,WiFi,2
NET: Can't even load internal sites - business connectivity showing signs of Print server connectivity,NETWORK,Enterprise Services,1
NETWORK/Network Performance: High round-trip time detected during bandwidth utilization monitoring at satellite office,NETWORK,Network Performance,4
Network incident: Something's wrong with the bandwidth utilization - diagnostic confirmed Slow file transfer,NETWORK,Network Performance,3
Network helpdesk: Would you mind looking into the IP schema issues? Related to Subnet mask misconfiguration,NETWORK,IP Addressing,1
Urgent network ticket: Fiber optic damage detected on physical layer at data center,NETWORK,Physical Connectivity,2
NET-DNS: Getting 'DNS server not found' errors on patch connections. Root cause: Ground loop issue,NETWORK,Physical Connectivity,2
Network request: Could IT please check the corporate network? It's very slow due to Application server network issue,NETWORK,Enterprise Services,1
"Network issue: cabling infrastructure was fine yesterday, now experiencing EMI interference",NETWORK,Physical Connectivity,3
NETWORK: copper/fiber link keeps dropping every few minutes. Network team confirmed Cable disconnection,NETWORK,Physical Connectivity,1
"Network operations ticket: Without business systems, departments can't work! Identified as VPN capacity overload",NETWORK,Enterprise Services,2
Network helpdesk: Would you mind looking into the WiFi SSID issues? Related to WiFi client disconnections,NETWORK,WiFi,2
NET FYI: Wanted to inform you that the OSI layer 1-3 issue is down because of High latency,NETWORK,Connectivity,2
"Network issue: DNS protocol was fine yesterday, now experiencing DNS amplification attack",NETWORK,DNS,4
NETWORK frustration: This is impacting productivity - address space needs attention! Issue: DHCP lease expiration,NETWORK,IP Addressing,1
NETWORK: Everything is timing out - address space appears to have Duplicate IP address,NETWORK,IP Addressing,3
NETWORK ALERT: Bandwidth saturation detected in corporate headquarters network metrics leading to timeout errors,NETWORK,Network Performance,3
NET: Can't even load internal sites - bandwidth utilization showing signs of Bandwidth saturation,NETWORK,Network Performance,2
Network VPN: network services keeps disconnecting every few minutes due to Remote desktop service failure,NETWORK,Enterprise Services,2
NET: MAC address flooding reported in network pipe at branch location - causing service disruption,NETWORK,Connectivity,4
NETWORK: Everything is timing out - name resolution appears to have Split-horizon DNS failure,NETWORK,DNS,1
NETOPS: network fabric connectivity broken - can't connect to anything due to Network card malfunction,NETWORK,Connectivity,4
NET assistance: Having trouble connecting to the nameserver configuration. Diagnosis shows DNS propagation delay,NETWORK,DNS,3
NETOPS: TCP/IP stack is crawling! Investigation shows IP routing loop,NETWORK,IP Addressing,2
"NETWORK URGENT: The traffic patterns is down, and teams have deadlines! Issue identified as CPU bottleneck on network device",NETWORK,Network Performance,3
NETOPS: wireless spectrum connectivity broken - can't connect to anything due to SSID not broadcasting,NETWORK,WiFi,2
"Network operations ticket: Without DNS protocol, departments can't work! Identified as DNS cache poisoning",NETWORK,DNS,3
NETWORK: Everything is timing out - DNS hierarchy appears to have Split-horizon DNS failure,NETWORK,DNS,3
NET support needed: Keep losing connection to network termination. Suspected EMI interference,NETWORK,Physical Connectivity,4
NET-DNS: Getting 'DNS server not found' errors on bandwidth utilization. Root cause: Protocol performance issues,NETWORK,Network Performance,1
"Network operations ticket: Without corporate network, departments can't work! Identified as Cloud service connectivity",NETWORK,Enterprise Services,4
NETWORK ALERT: Interface errors detected in client site OSI layer 1-3 issue causing packet drops,NETWORK,Connectivity,2
"NETWORK URGENT: The patch panel is down, and teams have deadlines! Issue identified as Cross-talk interference",NETWORK,Physical Connectivity,2
NET FYI: Wanted to inform you that the bandwidth utilization is down because of Application timeout,NETWORK,Network Performance,2
NET-DNS: Getting 'DNS server not found' errors on address space. Root cause: IP address conflict,NETWORK,IP Addressing,3
"NETWORK URGENT: The flow control is down, and teams have deadlines! Issue identified as Application timeout",NETWORK,Network Performance,2
NET priority: Please fix traffic patterns ASAP - teams can't work due to Traffic shaping issues,NETWORK,Network Performance,2
NETWORK: Everything is timing out - network addressing appears to have Subnet mask misconfiguration,NETWORK,IP Addressing,1
NET priority: Please fix subnet topology ASAP - teams can't work due to DHCP server failure,NETWORK,IP Addressing,2
"NET-WiFi: The WiFi channel is experiencing issues, users reporting Access point failure",NETWORK,WiFi,2
NETWORK incident: Protocol performance issues related to flow control affecting multiple users at satellite office,NETWORK,Network Performance,3
Network support: Been trying to connect to business connectivity for hours. Diagnosed as Remote desktop service failure,NETWORK,Enterprise Services,1
NET FYI: Wanted to inform you that the corporate network is down because of Network drive mapping failure,NETWORK,Enterprise Services,2
Network incident: Something's wrong with the address space - diagnostic confirmed NAT configuration error,NETWORK,IP Addressing,3
Network ticket: Getting 'no internet access' on all devices connected to network QoS. Root cause: Bandwidth saturation,NETWORK,Network Performance,4
NETWORK incident: Remote desktop service failure related to business systems impacting user connectivity at main office,NETWORK,Enterprise Services,3
NETWORK/Enterprise Services: Network drive mapping failure detected during enterprise application monitoring at manufacturing floor,NETWORK,Enterprise Services,2
NET-DNS: Getting 'DNS server not found' errors on IP schema. Root cause: DNS resolution failure,NETWORK,IP Addressing,3
Network support: Been trying to connect to transit network for hours. Diagnosed as Bandwidth saturation,NETWORK,Connectivity,3
"Network operations ticket: Without subnet topology, departments can't work! Identified as Duplicate IP address",NETWORK,IP Addressing,1
NETWORK: Everything is timing out - network pipe appears to have MTU misconfiguration,NETWORK,Connectivity,3
NETWORK: network pipe keeps dropping every few minutes. Network team confirmed Intermittent connectivity,NETWORK,Connectivity,3
NETWORK incident: DHCP pool exhaustion related to IP allocation affecting multiple users at warehouse,NETWORK,IP Addressing,1
Urgent network ticket: Network congestion detected on backbone connection at server room,NETWORK,Connectivity,3
Network request: Could IT please check the wireless network? It's very slow due to WiFi throughput degradation,NETWORK,WiFi,1
NET assistance: Having trouble connecting to the network fabric. Diagnosis shows Switch port error,NETWORK,Connectivity,3
Network emergency: cabling infrastructure is completely dead - need immediate help! Cause: EMI interference,NETWORK,Physical Connectivity,3
Network team: Please help with network metrics problems. Symptoms point to Network throttling,NETWORK,Network Performance,3
NET priority: Please fix address space ASAP - teams can't work due to IP allocation failure,NETWORK,IP Addressing,1
"Network status: OSI layer 1-3 issue says 'connected, no internet' because of MAC address flooding",NETWORK,Connectivity,2
Network support: Been trying to connect to patch connections for hours. Diagnosed as Ground loop issue,NETWORK,Physical Connectivity,1
NETOPS: network metrics connectivity broken - can't connect to anything due to Network throttling,NETWORK,Network Performance,2
NET priority: Please fix physical layer ASAP - teams can't work due to Fiber optic damage,NETWORK,Physical Connectivity,3
NET ticket: CPU bottleneck on network device in network QoS at branch location requiring network team attention,NETWORK,Network Performance,3
NETWORK ALERT: Fiber optic damage detected in satellite office copper/fiber link causing packet drops,NETWORK,Physical Connectivity,2
Network helpdesk: Would you mind looking into the enterprise infrastructure issues? Related to Application server network issue,NETWORK,Enterprise Services,1
"Network issue: nameserver configuration was fine yesterday, now experiencing DNSSEC validation error",NETWORK,DNS,1
Network ticket: Getting 'no internet access' on all devices connected to IP allocation. Root cause: Subnet mask misconfiguration,NETWORK,IP Addressing,3
NETWORK incident: Intermittent connectivity related to OSI layer 1-3 issue resulting in connection failures at manufacturing floor,NETWORK,Connectivity,1
Network team: Please help with enterprise infrastructure problems. Symptoms point to Exchange server network issues,NETWORK,Enterprise Services,3
NETOPS: nameserver configuration is crawling! Investigation shows DNS amplification attack,NETWORK,DNS,1
"NET-Physical Connectivity: The network termination is experiencing issues, users reporting Bad network cable",NETWORK,Physical Connectivity,1
Network VPN: bandwidth utilization keeps disconnecting every few minutes due to Traffic shaping issues,NETWORK,Network Performance,3
NETOPS: wireless network connectivity broken - can't connect to anything due to Access point failure,NETWORK,WiFi,2
Urgent network ticket: MAC address flooding detected on transit network at corporate headquarters,NETWORK,Connectivity,3
Network incident: Something's wrong with the patch connections - diagnostic confirmed Switch hardware failure,NETWORK,Physical Connectivity,3
NET priority: Please fix FQDN resolution ASAP - teams can't work due to Zone transfer error,NETWORK,DNS,2
NET support needed: Keep losing connection to physical layer. Suspected Physical media converter failure,NETWORK,Physical Connectivity,2
NETWORK: Everything is timing out - TCP/IP stack appears to have IP allocation failure,NETWORK,IP Addressing,3
NET support needed: Keep losing connection to network QoS. Suspected Slow network response,NETWORK,Network Performance,1
NET priority: Please fix core routing ASAP - teams can't work due to Duplex mismatch,NETWORK,Connectivity,1
NETWORK frustration: This is impacting productivity - DNS hierarchy needs attention! Issue: DNS record misconfiguration,NETWORK,DNS,2
NET FYI: Wanted to inform you that the DNS hierarchy is down because of DNS amplification attack,NETWORK,DNS,1
NET access: Can't access shared resources via DNS zone - reports 'network error' related to DNS resolution failure,NETWORK,DNS,3
Network team: Please help with RF environment problems. Symptoms point to Access point failure,NETWORK,WiFi,1
NET assistance: Having trouble connecting to the wireless AP. Diagnosis shows Authentication failure,NETWORK,WiFi,3
Network request: Could IT please check the DNS protocol? It's very slow due to DNS cache poisoning,NETWORK,DNS,4
NET performance: Users losing patience with slow IP schema connection caused by Static IP conflict,NETWORK,IP Addressing,1
Network request: Could IT please check the WAN link? It's very slow due to Duplex mismatch,NETWORK,Connectivity,1
NETWORK ALERT: Authentication failure detected in data center WiFi channel resulting in connection failures,NETWORK,WiFi,2
Network incident: Something's wrong with the DNS zone - diagnostic confirmed Split-horizon DNS failure,NETWORK,DNS,4
Network ticket: Getting 'no internet access' on all devices connected to enterprise infrastructure. Root cause: Application server network issue,NETWORK,Enterprise Services,1
Network monitoring alert: Bandwidth saturation affecting OSI layer 1-3 issue at manufacturing floor impacting user connectivity,NETWORK,Connectivity,3
NET ticket: Remote desktop service failure in business systems at remote site requiring network team attention,NETWORK,Enterprise Services,1
NET support needed: Keep losing connection to name resolution. Suspected DNS propagation delay,NETWORK,DNS,1
NETWORK: Everything is timing out - WAN link appears to have Network congestion,NETWORK,Connectivity,2
"Network status: WiFi channel says 'connected, no internet' because of Channel congestion",NETWORK,WiFi,4
Network VPN: wireless network keeps disconnecting every few minutes due to WiFi client disconnections,NETWORK,WiFi,2
Network VPN: patch panel keeps disconnecting every few minutes due to Switch hardware failure,NETWORK,Physical Connectivity,3
"NET: Not sure if it's just one department, but the network addressing has Default gateway unreachable",NETWORK,IP Addressing,3
NETWORK/Network Performance: CPU bottleneck on network device detected during network throughput monitoring at data center,NETWORK,Network Performance,3
NET support needed: Keep losing connection to network pipe. Suspected High latency,NETWORK,Connectivity,3
Network VPN: physical layer keeps disconnecting every few minutes due to Switch hardware failure,NETWORK,Physical Connectivity,1
NETOPS: TCP/IP stack is crawling! Investigation shows ARP table corruption,NETWORK,IP Addressing,2
Network monitoring alert: Switch hardware failure affecting copper/fiber link at main office resulting in connection failures,NETWORK,Physical Connectivity,1
NET priority: Please fix network throughput ASAP - teams can't work due to Slow file transfer,NETWORK,Network Performance,2
"Network issue: CIDR block was fine yesterday, now experiencing Invalid IP configuration",NETWORK,IP Addressing,1
Network team: Please help with transit network problems. Symptoms point to MTU misconfiguration,NETWORK,Connectivity,3
NETWORK incident: File sharing service disruption related to enterprise infrastructure causing packet drops at main office,NETWORK,Enterprise Services,1
NET performance: Users losing patience with slow enterprise application connection caused by Remote desktop service failure,NETWORK,Enterprise Services,1
NETWORK/Connectivity: Bandwidth saturation detected during WAN link monitoring at satellite office,NETWORK,Connectivity,3
Network monitoring alert: Duplex mismatch affecting transit network at main office impacting user connectivity,NETWORK,Connectivity,3
Network monitoring alert: Bandwidth saturation affecting network pipe at branch location impacting user connectivity,NETWORK,Connectivity,2
NETOPS: TCP/IP stack connectivity broken - can't connect to anything due to IP allocation failure,NETWORK,IP Addressing,1
"NET: Not sure if it's just one department, but the mission-critical applications has Print server connectivity",NETWORK,Enterprise Services,3
Network helpdesk: Would you mind looking into the physical layer issues? Related to Physical media converter failure,NETWORK,Physical Connectivity,2
Network incident: Something's wrong with the TCP/IP stack - diagnostic confirmed DHCP scope depletion,NETWORK,IP Addressing,3
NETWORK: IP allocation keeps dropping every few minutes. Network team confirmed Subnet mask misconfiguration,NETWORK,IP Addressing,4
"NET-WiFi: The WiFi SSID is experiencing issues, users reporting WiFi client disconnections",NETWORK,WiFi,2
NET priority: Please fix subnet topology ASAP - teams can't work due to Subnet mask misconfiguration,NETWORK,IP Addressing,2
Network emergency: 802.11 protocol is completely dead - need immediate help! Cause: Rogue access point detected,NETWORK,WiFi,2
NET FYI: Wanted to inform you that the physical medium is down because of Fiber optic damage,NETWORK,Physical Connectivity,2
NET access: Can't access shared resources via domain name system - reports 'network error' related to DNS record misconfiguration,NETWORK,DNS,3
NET performance: Users losing patience with slow traffic patterns connection caused by Buffer overflow,NETWORK,Network Performance,2
NET access: Can't access shared resources via transit network - reports 'network error' related to Duplex mismatch,NETWORK,Connectivity,3
NET priority: Please fix network throughput ASAP - teams can't work due to CPU bottleneck on network device,NETWORK,Network Performance,1
NETWORK: address space keeps dropping every few minutes. Network team confirmed DHCP lease expiration,NETWORK,IP Addressing,1
"Network issue: physical medium was fine yesterday, now experiencing Ground loop issue",NETWORK,Physical Connectivity,1
Urgent network ticket: Print server connectivity detected on network services at data center,NETWORK,Enterprise Services,2
"Network status: subnet topology says 'connected, no internet' because of ARP table corruption",NETWORK,IP Addressing,2
"NET-Connectivity: The backbone connection is experiencing issues, users reporting Interface errors",NETWORK,Connectivity,2
