description,category,subcategory,priority
HIGH PRIORITY DB ISSUE: Database diagnostics not available ! multiple teams blocked from data access,DATABASE,Monitoring & Logging,3
Deadlock detection issues (all attempts to connect fail) ; metric collection failed - all data access blocked,DATABASE,Monitoring & Logging,4
Memory settings misconfigured ! database metrics showing anomalies - reports not generating,DATABASE,Configuration,3
CRITICAL: Database error in Tablespace at capacity - query memory grants failing - started after recent schema update,DATABASE,Capacity,4
!!Data corruption!! - Foreign key violation ! all data access blocked,DATABASE,Data Integrity,2
Missing required fields (tried restarting instance) . unexpected NULL values . critical business processes blocked by DB issue,DATABASE,Data Integrity,1
Buffer cache thrashing: parameter queries failing - business operations severely affected due to database issues,DATABASE,Performance,1
Time sensitive: Invalid database config - finance system can't access data - SPFILE corruption detected,DATABASE,Configuration,1
Time-critical alert: Point-in-time recovery error ! entire ERP system down - inconsistent backup state,DATABASE,Backup & Recovery,2
Emergency - Can't access Schema change failed - trigger causing exceptions - tried different connection methods,DATABASE,Schema Management,4
Database server down: database process not running - all attempts to connect fail,DATABASE,Availability,3
Database link failure (error rate spiking in DB monitoring) . incompatible character sets . customer-facing database services impacted,DATABASE,Configuration,3
Point-in-time recovery error (memory usage growing exponentially on DB server) . can't restore from backup set . revenue-generating database down,DATABASE,Backup & Recovery,2
Incompatible parameter values (memory usage growing exponentially on DB server) . incompatible character sets . reports not generating,DATABASE,Configuration,1
Index rebuild error: partition operation failed - memory usage growing exponentially on DB server,DATABASE,Schema Management,2
URGENT: Database Data type mismatch - foreign key violations - error rate spiking in DB monitoring,DATABASE,Data Integrity,2
Incomplete backup set: backup job failing every night - critical business processes blocked by DB issue,DATABASE,Backup & Recovery,2
DATABASE ALERT: Foreign key violation ! database-dependent services down,DATABASE,Data Integrity,2
DDL operation hung: stored procedure compilation errors - all data access blocked,DATABASE,Schema Management,3
Referential integrity failure: unexpected NULL values - customer data unavailable,DATABASE,Data Integrity,3
Production DB blocked by Incomplete backup set !!! critical business processes blocked by DB issue,DATABASE,Backup & Recovery,3
Immediate database assistance needed: Missing required fields !!! impacting all database-dependent services,DATABASE,Data Integrity,1
Invalid object reference (error rate spiking in DB monitoring) ; invalid object references - multiple teams blocked from data access,DATABASE,Schema Management,1
Database restore failed (started after recent schema update) ; can't restore from backup set - critical business processes blocked by DB issue,DATABASE,Backup & Recovery,3
Production DB blocked by Distribution agent stalled - publisher/subscriber mismatch - all retry attempts to database failed,DATABASE,Replication,3
CDC process failed (memory usage growing exponentially on DB server) ; conflicting updates in multi-master - customer-facing database services impacted,DATABASE,Replication,4
Time sensitive: Authentication method conflict - entire company database access affected - initialization parameters invalid,DATABASE,Configuration,3
Time sensitive: Change tracking failed - entire ERP system down - replication queue backing up,DATABASE,Replication,2
DATABASE ALERT: Referential integrity failure - unexpected NULL values - checked database logs,DATABASE,Data Integrity,1
Excessive temp usage: queries taking 10+ minutes - error rate spiking in DB monitoring,DATABASE,Performance,1
Query timeout: timeouts on simple selects - production database pipeline completely stopped,DATABASE,Performance,1
Database error preventing work Differential backup corrupted ! critical business processes blocked by DB issue,DATABASE,Backup & Recovery,1
Differential backup corrupted (rebooted database server) . transaction logs missing . can't process customer orders in database,DATABASE,Backup & Recovery,3
DDL operation hung: trigger causing exceptions - rebooted database server,DATABASE,Schema Management,3
Session limit reached: login failures for all users - happens on all queries,DATABASE,User Access,1
BLOCKING DATABASE ISSUE: Foreign key violation - foreign key violations - database-dependent services down,DATABASE,Data Integrity,1
Time sensitive DB issue: Recovery stuck at rollback ! preventing order processing in database,DATABASE,Backup & Recovery,1
Database error preventing work Buffer cache thrashing ! entire company database access affected,DATABASE,Performance,2
Query memory exceeded - database console showing multiple errors ! entire company database access affected,DATABASE,Capacity,1
PRODUCTION DATABASE DOWN: Database timeout ! reports not generating,DATABASE,Availability,2
Invalid object reference: DDL operation blocked by locks - checked database logs,DATABASE,Schema Management,3
Time sensitive: Memory settings misconfigured - business intelligence platform affected - initialization parameters invalid,DATABASE,Configuration,1
Time sensitive: CDC process failed - business intelligence platform affected - replication process terminated,DATABASE,Replication,1
Query logging failed (database console showing multiple errors) . audit trail missing entries . transactions not processing,DATABASE,Monitoring & Logging,2
Immediate database assistance needed: Resource limit exceeded !!! impacting all database-dependent services,DATABASE,User Access,2
Database service crashed (logs showing cascade of database failures) ; instance crashed with core dump - customer data unavailable,DATABASE,Availability,3
Publication/subscription error (all retry attempts to database failed) ; circular replication error - transactions not processing,DATABASE,Replication,2
Corrupt backup file ! logs showing cascade of database failures - all data access blocked,DATABASE,Backup & Recovery,1
Alert log filled with errors ! started after morning maintenance - entire company database access affected,DATABASE,Monitoring & Logging,3
Deadlock detection issues - started after morning maintenance ! transactions not processing,DATABASE,Monitoring & Logging,1
Replication lag critical ! rebooted database server - transactions not processing,DATABASE,Replication,2
Invalid connection string: incompatible character sets - customer-facing database services impacted,DATABASE,Configuration,3
IMMEDIATE ACTION REQUIRED: Database Rollback segment full - log files filling entire volume - rebooted database server,DATABASE,Capacity,1
Index scan bottleneck - issue reproducible in all database environments ! preventing order processing in database,DATABASE,Performance,2
Time sensitive: RMAN error - can't process customer orders in database - recovery operation hanging,DATABASE,Backup & Recovery,2
Authentication method conflict - database console showing multiple errors ! all data access blocked,DATABASE,Configuration,1
Database server down (checked database logs) . connection string failing . multiple teams blocked from data access,DATABASE,Availability,1
Error log truncation - error code in logs ! can't process customer orders in database,DATABASE,Monitoring & Logging,2
Data type mismatch ! tried different connection methods - multiple teams blocked from data access,DATABASE,Data Integrity,1
URGENT - Database Customer Impact: Database cluster unavailable - database port not responding - preventing order processing in database,DATABASE,Availability,2
Privilege escalation detected (issue reproducible in all database environments) ; suddenly can't access any tables - impacting all database-dependent services,DATABASE,User Access,1
Permission denied error (happens on all queries) . suddenly can't access any tables . customer data unavailable,DATABASE,User Access,1
Authentication method conflict: NLS parameters incorrect - database-dependent services down,DATABASE,Configuration,1
Foreign key violation (database metrics showing anomalies) ; record counts don't match - all data access blocked,DATABASE,Data Integrity,1
IOPS limit exceeded: connection pool exhausted - started after morning maintenance,DATABASE,Capacity,1
Production DB blocked by Data sync conflict ! finance system can't access data,DATABASE,Replication,3
IMMEDIATE ACTION REQUIRED: Database Resource limit exceeded !!! entire ERP system down,DATABASE,User Access,3
Transaction log backup failed (error rate spiking in DB monitoring) ; transaction logs missing - can't process customer orders in database,DATABASE,Backup & Recovery,2
Log reader agent failing: distribution latency critical - impacting all database-dependent services,DATABASE,Replication,2
Function compilation error (getting ORA-errors) ; stored procedure compilation errors - transactions not processing,DATABASE,Schema Management,4
Data sync conflict: publisher/subscriber mismatch - impacting all database-dependent services,DATABASE,Replication,2
Status dashboard unresponsive - all attempts to connect fail ! impacting all database-dependent services,DATABASE,Monitoring & Logging,2
Connection limit reached (error logs attached in screenshot) ; unable to allocate new blocks - multiple teams blocked from data access,DATABASE,Capacity,4
Data sync conflict (memory usage growing exponentially on DB server) . replication topology broken . revenue-generating database down,DATABASE,Replication,4
Production DB blocked by IOPS limit exceeded !!! finance system can't access data,DATABASE,Capacity,1
Health check reporting errors (multiple users reporting same database problem) ; no monitoring data available - entire ERP system down,DATABASE,Monitoring & Logging,3
Time sensitive DB issue: Slow query execution - queries taking 10+ minutes - memory usage growing exponentially on DB server,DATABASE,Performance,4
Partition operation failed ! error rate spiking in DB monitoring - customer-facing database services impacted,DATABASE,Schema Management,2
Log rotation failure (error logs attached in screenshot) ; diagnostic pack not functioning - all queries failing,DATABASE,Monitoring & Logging,2
!!Data corruption!! - IOPS limit exceeded - no space left for transactions - multiple users reporting same database problem,DATABASE,Capacity,4
Recovery missing logs: RMAN reporting corrupt blocks - started after recent schema update,DATABASE,Backup & Recovery,1
Recovery stuck at rollback: RMAN reporting corrupt blocks - business operations severely affected due to database issues,DATABASE,Backup & Recovery,2
Sequence generation error: DDL operation blocked by locks - rebooted database server,DATABASE,Schema Management,1
Constraint error - error rate spiking in DB monitoring ! customer data unavailable,DATABASE,Data Integrity,2
Memory settings misconfigured - checked database logs ! business intelligence platform affected,DATABASE,Configuration,3
Transaction log backup failed ! all retry attempts to database failed - can't process customer orders in database,DATABASE,Backup & Recovery,3
IMMEDIATE ACTION REQUIRED: Database Excessive temp usage - execution plan regression - customer data unavailable,DATABASE,Performance,3
Character set mismatch: connection string rejected - all retry attempts to database failed,DATABASE,Configuration,1
Publication/subscription error (memory usage growing exponentially on DB server) . log reader agent failing . all data access blocked,DATABASE,Replication,2
Missing required fields (memory usage growing exponentially on DB server) ; checksums failing - entire company database access affected,DATABASE,Data Integrity,2
Time sensitive DB issue: Database server down - socket connection refused - database-dependent services down,DATABASE,Availability,1
PRODUCTION DATABASE DOWN: Failed login attempts ! can't process customer orders in database,DATABASE,User Access,3
PRODUCTION DATABASE DOWN: Invalid init parameters !!! revenue-generating database down,DATABASE,Configuration,4
Instance not responding ! logs showing cascade of database failures - entire company database access affected,DATABASE,Availability,1
Master-slave desync (happens on all queries) . change data capture process failed . multiple clients affected by database outage,DATABASE,Replication,2
URGENT: Database Transaction log full - connection pool exhausted - production database pipeline completely stopped,DATABASE,Capacity,2
Time sensitive: Privilege escalation detected - impacting all database-dependent services - login failures for all users,DATABASE,User Access,3
Instance terminated unexpectedly: database process not running - preventing order processing in database,DATABASE,Availability,2
Immediate database assistance needed: Schema version conflict - stored procedure compilation errors - getting ORA-errors,DATABASE,Schema Management,3
Invalid database config (tried different connection methods) ; SPFILE corruption detected - revenue-generating database down,DATABASE,Configuration,3
IMMEDIATE ACTION REQUIRED: Database Database service crashed !!! finance system can't access data,DATABASE,Availability,4
Monitoring agent disconnected ! happens on all queries - critical business processes blocked by DB issue,DATABASE,Monitoring & Logging,2
!!Data corruption!! - Replica lag critical !!! multiple clients affected by database outage,DATABASE,Availability,3
URGENT - Database Customer Impact: Data corruption detected ! multiple teams blocked from data access,DATABASE,Data Integrity,1
Master-slave desync (error logs attached in screenshot) ; replication process terminated - all queries failing,DATABASE,Replication,3
Log write delays: index not being used - getting ORA-errors,DATABASE,Performance,1
DDL operation hung: materialized view refresh hanging - tried restarting instance,DATABASE,Schema Management,2
Permission denied error (tried different connection methods) . exceeding resource quotas . production database pipeline completely stopped,DATABASE,User Access,3
Time sensitive: Invalid init parameters - can't process customer orders in database - incompatible character sets,DATABASE,Configuration,2
P1 DB INCIDENT: Replication queue overflowed !!! business intelligence platform affected,DATABASE,Replication,1
!!Data corruption!! - Recovery missing logs !!! impacting all database-dependent services,DATABASE,Backup & Recovery,3
Time sensitive: Character set mismatch - reports not generating - memory settings causing crashes,DATABASE,Configuration,2
Session limit reached: proxy authentication errors - getting ORA-errors,DATABASE,User Access,3
Time sensitive: Database server down - multiple teams blocked from data access - database port not responding,DATABASE,Availability,1
Time sensitive: Tablespace at capacity - database-dependent services down - query memory grants failing,DATABASE,Capacity,1
IMMEDIATE ACTION REQUIRED: Database Transaction log backup failed ! production database pipeline completely stopped,DATABASE,Backup & Recovery,1
PRODUCTION DATABASE DOWN: Error log truncation ! production database pipeline completely stopped,DATABASE,Monitoring & Logging,2
Time-critical alert: Password expired ! revenue-generating database down - role assignments disappeared,DATABASE,User Access,3
BLOCKING DATABASE ISSUE: Recovery stuck at rollback ! all data access blocked,DATABASE,Backup & Recovery,2
Backup validation failed - started after morning maintenance ! preventing order processing in database,DATABASE,Backup & Recovery,4
Time-critical alert: Instance parameter error ! can't process customer orders in database - NLS parameters incorrect,DATABASE,Configuration,1
Time sensitive: Transaction log backup failed - customer data unavailable - inconsistent backup state,DATABASE,Backup & Recovery,3
Time sensitive DB issue: Recovery missing logs - RMAN reporting corrupt blocks - tried restarting instance,DATABASE,Backup & Recovery,3
Invalid init parameters (multiple instances affected) . parameter file can't be read . impacting all database-dependent services,DATABASE,Configuration,2
Database timeout (database console showing multiple errors) ; listener not accepting connections - transactions not processing,DATABASE,Availability,3
Poor query plan - started after morning maintenance ! entire ERP system down,DATABASE,Performance,2
URGENT: Database Invalid connection string ! critical business processes blocked by DB issue,DATABASE,Configuration,3
Time-critical alert: Table lock contention ! entire ERP system down - execution plan regression,DATABASE,Performance,1
Parameter file corruption (database metrics showing anomalies) . NLS parameters incorrect . all queries failing,DATABASE,Configuration,1
Orphaned records found (error code in logs) . unexpected NULL values . can't process customer orders in database,DATABASE,Data Integrity,1
Emergency - Can't access Tablespace at capacity !!! multiple teams blocked from data access,DATABASE,Capacity,3
Time sensitive: Connection refused - impacting all database-dependent services - socket connection refused,DATABASE,Availability,1
Instance terminated unexpectedly (rebooted database server) . service completely unresponsive . all data access blocked,DATABASE,Availability,1
P1 DB INCIDENT: Materialized view refresh failed !!! business operations severely affected due to database issues,DATABASE,Schema Management,1
Replication stopped: publisher/subscriber mismatch - revenue-generating database down,DATABASE,Replication,2
Error log truncation - getting ORA-errors ! business operations severely affected due to database issues,DATABASE,Monitoring & Logging,2
EMERGENCY DATABASE TICKET: Blocking transactions - CPU usage at 100 on DB server - issue reproducible in all database environments,DATABASE,Performance,4
Invalid init parameters ! logs showing cascade of database failures - revenue-generating database down,DATABASE,Configuration,3
Poor query plan - getting ORA-errors ! business intelligence platform affected,DATABASE,Performance,3
Invalid credentials ! database metrics showing anomalies - all queries failing,DATABASE,User Access,3
Database server down - database console showing multiple errors ! all queries failing,DATABASE,Availability,1
CRITICAL DB ALERT: Log write delays - CPU usage at 100 on DB server - critical business processes blocked by DB issue,DATABASE,Performance,2
EMERGENCY DATABASE TICKET: Resource limit exceeded - suddenly can't access any tables - multiple teams blocked from data access,DATABASE,User Access,4
URGENT - Database Customer Impact: Privilege escalation detected !!! all queries failing,DATABASE,User Access,4
BLOCKING DATABASE ISSUE: Log files filled disk - query memory grants failing - all attempts to connect fail,DATABASE,Capacity,1
Time sensitive DB issue: Database timeout ! can't process customer orders in database,DATABASE,Availability,3
Database error preventing work Data type mismatch - query results inconsistent - database-dependent services down,DATABASE,Data Integrity,2
Recovery missing logs: can't access backup files - started after morning maintenance,DATABASE,Backup & Recovery,2
PRODUCTION DATABASE DOWN: Permission denied error - grant operations failing - logs showing cascade of database failures,DATABASE,User Access,2
IMMEDIATE ACTION REQUIRED: Database Duplicate primary keys - record counts don't match - database console showing multiple errors,DATABASE,Data Integrity,4
Database CPU overload: timeouts on simple selects - error code in logs,DATABASE,Performance,3
CRITICAL DB ALERT: Broken view definition ! transactions not processing,DATABASE,Schema Management,3
Time-critical alert: Connection pool exhausted ! business intelligence platform affected - socket connection refused,DATABASE,Availability,1
BLOCKING DATABASE ISSUE: Invalid object reference - DDL operation blocked by locks - tried different connection methods,DATABASE,Schema Management,4
Duplicate primary keys: records missing primary keys - critical business processes blocked by DB issue,DATABASE,Data Integrity,2
Backup validation failed: archive logs missing - issue reproducible in all database environments,DATABASE,Backup & Recovery,4
Materialized view refresh failed ! checked database logs - database-dependent services down,DATABASE,Schema Management,3
Time sensitive: Recovery missing logs - can't process customer orders in database - transaction logs missing,DATABASE,Backup & Recovery,1
Replication topology broken (database metrics showing anomalies) . circular replication error . multiple teams blocked from data access,DATABASE,Replication,2
Connection pool exhausted (rebooted database server) ; database port not responding - production database pipeline completely stopped,DATABASE,Availability,3
HIGH PRIORITY DB ISSUE: Constraint error !!! reports not generating,DATABASE,Data Integrity,1
Character set mismatch - database metrics showing anomalies ! business operations severely affected due to database issues,DATABASE,Configuration,3
Point-in-time recovery error (rebooted database server) . RMAN reporting corrupt blocks . can't process customer orders in database,DATABASE,Backup & Recovery,1
Database restore failed (error code in logs) . point-in-time recovery failing . impacting all database-dependent services,DATABASE,Backup & Recovery,4
Emergency - Can't access Tablespace at capacity - disk space critical on DB server - impacting all database-dependent services,DATABASE,Capacity,1
Replication stopped ! logs showing cascade of database failures - all queries failing,DATABASE,Replication,1
Time sensitive DB issue: Sequence generation error - stored procedure compilation errors - multiple teams blocked from data access,DATABASE,Schema Management,3
Time-critical alert: Master-slave desync ! customer data unavailable - log reader agent failing,DATABASE,Replication,1
Time sensitive: Recovery missing logs - impacting all database-dependent services - backup job failing every night,DATABASE,Backup & Recovery,2
PRODUCTION DATABASE DOWN: Constraint error ! transactions not processing,DATABASE,Data Integrity,1
Time-critical alert: User account locked ! all queries failing - privileged access revoked,DATABASE,User Access,2
PRODUCTION DATABASE DOWN: Instance terminated unexpectedly - socket connection refused - error rate spiking in DB monitoring,DATABASE,Availability,1
Time-critical alert: Recovery stuck at rollback ! impacting all database-dependent services - inconsistent backup state,DATABASE,Backup & Recovery,2
Time sensitive: Memory settings misconfigured - can't process customer orders in database - incompatible character sets,DATABASE,Configuration,4
CRITICAL DB ALERT: Parameter file corruption - NLS parameters incorrect - getting ORA-errors,DATABASE,Configuration,3
Database restore failed (logs showing cascade of database failures) ; can't access backup files - production database pipeline completely stopped,DATABASE,Backup & Recovery,2
Database link failure: memory settings causing crashes - revenue-generating database down,DATABASE,Configuration,2
Time-critical alert: Blocking transactions ! critical business processes blocked by DB issue - deadlocks occurring frequently,DATABASE,Performance,1
Monitoring agent disconnected (error rate spiking in DB monitoring) ; trace files not being created - production database pipeline completely stopped,DATABASE,Monitoring & Logging,1
Time sensitive: Datafile autoextend failed - all data access blocked - log files filling entire volume,DATABASE,Capacity,2
Time-critical alert: Deadlock detection issues ! can't process customer orders in database - alert log flooded with errors,DATABASE,Monitoring & Logging,2
Time-critical alert: Logical replication error ! critical business processes blocked by DB issue - distribution latency critical,DATABASE,Replication,2
Time-critical alert: Monitoring agent disconnected ! database-dependent services down - AWR reports not generating,DATABASE,Monitoring & Logging,2
Database link failure (error code in logs) ; service registration failed - finance system can't access data,DATABASE,Configuration,4
Schema version conflict (checked database logs) ; index unusable after update - production database pipeline completely stopped,DATABASE,Schema Management,1
CRITICAL DB ALERT: Backup validation failed - backup job failing every night - entire company database access affected,DATABASE,Backup & Recovery,2
Missing required fields: constraint violations - error logs attached in screenshot,DATABASE,Data Integrity,1
Time-critical alert: Schema change failed ! multiple teams blocked from data access - broken view definitions,DATABASE,Schema Management,4
Database CPU overload ! getting ORA-errors - business operations severely affected due to database issues,DATABASE,Performance,4
Role assignment failed (started after morning maintenance) . user accounts locked . all queries failing,DATABASE,User Access,2
DDL operation hung ! all attempts to connect fail - all queries failing,DATABASE,Schema Management,2
Backup space depleted: unable to allocate new blocks - impacting all database-dependent services,DATABASE,Capacity,2
IOPS limit exceeded - issue reproducible in all database environments ! database-dependent services down,DATABASE,Capacity,2
Log write delays (getting ORA-errors) . exponential query time increase . customer data unavailable,DATABASE,Performance,2
MAJOR DATABASE INCIDENT: Connection pool exhausted !!! transactions not processing,DATABASE,Availability,2
Time sensitive: CDC process failed - transactions not processing - conflicting updates in multi-master,DATABASE,Replication,2
CRITICAL DB ALERT: Duplicate primary keys ! impacting all database-dependent services,DATABASE,Data Integrity,2
Monitoring agent disconnected - issue reproducible in all database environments ! can't process customer orders in database,DATABASE,Monitoring & Logging,3
URGENT: Database DDL operation hung - sequence exhausted available values - customer data unavailable,DATABASE,Schema Management,2
Schema change failed - issue reproducible in all database environments ! multiple teams blocked from data access,DATABASE,Schema Management,1
Tablespace at capacity - error code in logs ! customer-facing database services impacted,DATABASE,Capacity,1
Time-critical alert: Authentication method conflict ! reports not generating - listener configuration invalid,DATABASE,Configuration,3
Important: Problems with database Performance metrics missing - trace files not being created - memory usage growing exponentially on DB server,DATABASE,Monitoring & Logging,2
Time-critical alert: DDL operation hung ! finance system can't access data - invalid object references,DATABASE,Schema Management,3
Time sensitive: Role assignment failed - entire company database access affected - exceeding resource quotas,DATABASE,User Access,2
URGENT - Database Customer Impact: IOPS limit exceeded ! critical business processes blocked by DB issue,DATABASE,Capacity,2
!!Data corruption!! - Data sync conflict ! multiple teams blocked from data access,DATABASE,Replication,2
Log reader agent failing (error code in logs) ; circular replication error - transactions not processing,DATABASE,Replication,2
Resource limit exceeded: role assignments disappeared - started after recent schema update,DATABASE,User Access,3
CDC process failed ! error code in logs - business operations severely affected due to database issues,DATABASE,Replication,4
Invalid connection string (happens on all queries) ; connection string rejected - preventing order processing in database,DATABASE,Configuration,1
