ticket_id,description,category,subcategory,priority,status,created_timestamp,resolved_timestamp,requester_type,resolution_hours
INC648302,"Load Balancer malfunction reported by 2 workstations in R&D Lab, 2nd Floor (since this morning) - IP: 10.251.148.7",NETWORK,Load Balancer,4,Not Reproducible,2025-02-18 06:43:25,2025-02-18 07:13:56,Contractor,0.5086504047099227
INC587701,"[R&D Lab, 1st Floor] Supply Chain reports Point-of-Sale Hardware failure for business services",HARDWARE,Point-of-Sale Hardware,4,Resolved,2025-02-12 17:29:25,2025-02-12 19:45:59,Contractor,2.2763724157225607
INC392887,[Customer Support] 2 users affected by Authorization degradation,IDENTITY,Authorization,2,Resolved,2024-11-27 10:00:14,2024-12-02 07:36:09,Manager,117.5987663627397
INC436304,"[Building A, Training Room] Research reports Firewall blocking legitimate traffic for multiple users in Research (recurring issue)",NETWORK,Firewall,2,Resolved,2024-10-14 11:27:14,2024-10-18 11:41:22,Employee,96.23563707462469
INC800257,"Incident: major brute force attempt with Account Compromise identified from Building A, Mezzanine",SECURITY,Account Compromise,4,Resolved,2025-02-17 18:08:39,2025-02-17 20:58:46,VIP,2.8354745795385132
INC263837,"[Building B, Mezzanine] Sales reports AV Equipment calibration needed for business services - IP: 10.113.201.40",HARDWARE,AV Equipment,3,Workaround Provided,2024-12-15 15:14:10,2024-12-17 13:21:10,Contractor,46.11675536260968
INC200605,"intermittent broadcast storm in LAN system preventing access for team operations at R&D Lab, Mezzanine",NETWORK,LAN,2,Resolved,2024-11-13 18:13:10,2024-11-15 04:30:04,Manager,34.28174774903218
INC214667,HR reporting Phishing clicked phishing link preventing access for 2 users,SECURITY,Phishing,4,Open,2024-08-25 13:27:02,,Employee,
INC275527,[Field Location] Facilities reports Server major backplane failure for all terminals,HARDWARE,Server,4,Resolved,2025-02-04 13:26:27,2025-02-04 14:48:44,Employee,1.3716601063616283
INC979711,"Service alert: Peripheral critical issue detected, impacting 10 users in HR",HARDWARE,Peripheral,4,Resolved,2025-02-11 15:08:09,2025-02-12 02:26:58,VIP,11.313639331581525
INC564153,Incident: major ISP gateway issues with Internet flagged from Satellite Office (for the past hour),NETWORK,Internet,4,Resolved,2025-02-18 10:19:57,2025-02-18 19:24:59,Manager,9.084125185331157
INC854091,Incident: unauthorized access with IoT Device reported from HQ Building,HARDWARE,IoT Device,2,Resolved,2025-01-31 14:36:26,2025-02-05 02:12:23,Employee,107.59940836074989
INC602489,"Branch Office, Executive Floor - Cloud Service: permission problems - impacting core services",SOFTWARE,Cloud Service,4,Duplicate,2024-11-06 15:53:51,2024-11-06 18:43:59,Employee,2.835574193737092
INC318912,[Sales] business services affected by Router intermittent outage,NETWORK,Router,3,Resolved,2025-01-31 14:16:35,2025-02-02 08:14:13,External,41.96081739804215
INC568502,"issue in Insider Threat system disrupting multiple users in Finance at Data Center, Operations Center (sudden onset)",SECURITY,Insider Threat,3,Resolved,2025-02-13 11:20:43,2025-02-13 19:31:12,VIP,8.174837275330521
INC106019,Incident: query performance with Database reported from Home Office,DATA,Database,2,Resolved,2024-10-23 17:02:19,2024-10-26 18:33:55,Employee,73.52687991140942
INC497346,"Incident: IAM permission issues with AWS reported from Manufacturing Plant, Ground Floor (sudden onset) - Software version: 3.2.23",CLOUD,AWS,2,Resolved,2024-08-25 14:47:46,2024-08-29 03:30:47,Contractor,84.71711671493259
INC409331,"Kerberos ticket problem in Authentication system affecting core services at Building B, Executive Floor",IDENTITY,Authentication,3,Resolved,2024-12-21 09:33:02,2024-12-22 04:52:28,Contractor,19.32404888746136
INC786102,"Vulnerability DNS spoofing attack reported by 2 endpoints in HQ Building, Training Room - Vendor ticket: INC91339",SECURITY,Vulnerability,3,Closed,2024-12-22 11:59:49,2024-12-24 03:09:25,VIP,39.160230100331326
INC334950,Operations reporting Private Cloud automation failure affecting all workstations,CLOUD,Private Cloud,3,In Progress,2025-01-31 15:26:27,,Employee,
INC217154,Engineering reporting Insider Threat error affecting business operations,SECURITY,Insider Threat,3,Resolved,2025-02-12 09:06:30,2025-02-12 13:46:20,Manager,4.664022672577863
INC563854,Customer Support reporting Physical Security minor malfunction affecting critical services,SECURITY,Physical Security,4,Resolved,2024-12-26 15:15:45,2024-12-26 18:34:16,Employee,3.3086588638292693
INC365209,"Private Cloud incident - self-service portal - Data Center, Basement - Affecting: multiple servers",CLOUD,Private Cloud,3,Resolved,2025-01-05 16:21:12,2025-01-07 13:32:33,Employee,45.18920684055725
INC946540,"Legal outage reported by business services in Regional HQ, Basement",COMPLIANCE,Legal,4,Open,2025-01-22 11:22:52,,Employee,
INC264144,[Regional HQ] Engineering reports Audit degraded logging inadequate for 1 endpoints - IP: 10.76.151.92,COMPLIANCE,Audit,4,Workaround Provided,2024-11-30 07:51:35,2024-11-30 13:26:36,External,5.583855627694773
INC485714,"Service alert: Peripheral problem detected, impacting critical operations - Vendor ticket: CASE96409",HARDWARE,Peripheral,2,Resolved,2025-01-21 12:50:08,2025-01-25 07:58:13,Employee,91.13478279599799
INC398878,Compliance R&D Lab: 2 users reporting Cloud Service excessive billing (intermittently throughout the day),SOFTWARE,Cloud Service,4,Resolved,2025-01-05 10:45:08,2025-01-05 18:50:18,Employee,8.086233526976002
INC773418,Point-of-Sale Hardware issue reported by business services in HQ Building - Software version: 5.17.36,HARDWARE,Point-of-Sale Hardware,2,Closed,2024-12-03 10:42:24,2024-12-05 16:13:20,Contractor,53.515716616789675
INC963344,"[Branch Office, Ground Floor] Procurement reports Proxy intermittent error for business operations",NETWORK,Proxy,4,Escalated,2024-12-03 13:36:20,,Employee,
INC563213,"[Warehouse, Operations Center] HR reports Router critical error for internal services",NETWORK,Router,4,Resolved,2025-02-10 12:45:59,2025-02-10 17:25:20,Employee,4.656025705731604
INC185546,"Branch Office, Training Room - Enterprise Software: degradation - impacting internal services - Error code: E2349",SOFTWARE,Enterprise Software,1,Resolved,2024-11-30 15:08:46,2024-12-09 10:58:16,Employee,211.8250041899832
INC220575,[Engineering] business operations affected by Audit failed audit check (following maintenance),COMPLIANCE,Audit,3,Open,2024-12-22 08:56:38,,Employee,
INC929843,LAN incident - cable problems - Co-working Space - Affecting: 2 endpoints (for the past hour) - IP: 10.32.161.127,NETWORK,LAN,2,Workaround Provided,2024-08-25 17:13:22,2024-08-27 16:19:28,Employee,47.101768964038726
INC684724,"major restore failure in Recovery system affecting business operations at Branch Office, 2nd Floor - Asset tag: DEV-5429",DATA,Recovery,4,Closed,2025-01-08 08:11:26,2025-01-08 16:07:53,Employee,7.9410302709923855
INC636479,"Service alert: Physical Security outage detected, impacting critical services",SECURITY,Physical Security,3,Duplicate,2024-12-29 16:50:29,2024-12-30 18:00:33,External,25.16799459366923
INC464695,"Building A, Executive Floor - Workstation: strange noises - impacting business operations (gradual degradation)",HARDWARE,Workstation,4,Resolved,2024-12-13 15:31:51,2024-12-13 23:26:54,External,7.91758449201495
INC566094,"Building A, Basement - Workstation: freezing - impacting several servers (after the recent update)",HARDWARE,Workstation,3,Resolved,2024-12-14 16:03:03,2024-12-14 18:21:54,Manager,2.31425649434592
INC238058,[Warehouse] Marketing reports Operating System compatibility problems for critical operations,SOFTWARE,Operating System,3,Resolved,2024-12-04 17:40:53,2024-12-04 22:05:27,External,4.409589021637844
INC585603,issue in Authorization system affecting 2 users at Field Location (intermittently throughout the day),IDENTITY,Authorization,1,Open,2025-01-23 10:04:50,,External,
INC807704,Research Field Location: internal services reporting Authorization degradation - Error code: E9863,IDENTITY,Authorization,2,Closed,2024-10-24 16:15:27,2024-10-26 20:12:22,VIP,51.94878967102798
INC944434,"Security Building B, Mezzanine: business operations experiencing Switch issue",NETWORK,Switch,4,Resolved,2024-12-13 15:38:09,2024-12-13 23:36:17,External,7.968926392334573
INC917286,"Service alert: Recovery intermittent storage overwrite detected, impacting department operations (gradual degradation)",DATA,Recovery,2,Closed,2024-12-05 21:56:43,2024-12-08 18:31:05,Contractor,68.57297429582309
INC449388,Product Management reporting Point-of-Sale Hardware problem affecting department operations,HARDWARE,Point-of-Sale Hardware,2,Resolved,2024-12-28 14:11:17,2025-01-01 10:00:19,Employee,91.81744776650496
INC668945,"Service alert: Vulnerability critical CVE identified detected, impacting 10 users",SECURITY,Vulnerability,4,Resolved,2024-12-24 13:25:56,2024-12-24 23:15:37,Employee,9.828190216567242
INC427930,[Finance] business services affected by Security Software degraded firewall issues,SOFTWARE,Security Software,3,Resolved,2025-02-18 09:35:26,2025-02-20 04:29:07,Manager,42.894812149003556
INC370071,Operations reporting IoT Device connectivity issues affecting team operations (intermittently throughout the day) - Vendor ticket: INC46064,HARDWARE,IoT Device,1,Closed,2025-02-03 17:45:23,2025-02-10 00:33:01,Contractor,150.7939755447608
INC932387,Incident: slow performance with Operating System reported from Data Center,SOFTWARE,Operating System,2,In Progress,2025-01-14 12:00:30,,Employee,
INC567743,"Service alert: Storage critical disk full detected, impacting team operations - Error code: E8929",HARDWARE,Storage,4,In Progress,2024-12-11 11:45:07,,External,
INC296479,[Field Location] Compliance reports LAN high latency for multiple terminals,NETWORK,LAN,3,Workaround Provided,2024-12-27 09:40:46,2024-12-28 22:16:54,Contractor,36.60230373357319
INC889163,"Manufacturing Plant, Training Room - WiFi: intermittent slow speed - impacting 5 users in Operations",NETWORK,WiFi,3,Closed,2024-08-25 17:45:02,2024-08-26 10:18:22,Employee,16.555596679424497
INC954274,"Service alert: GCP failure detected, impacting 1 user",CLOUD,GCP,4,Not Reproducible,2025-02-13 07:10:19,2025-02-13 14:00:48,Employee,6.841437981850653
INC910125,"Incident: persistent transaction log full with Database reported from Regional HQ, 1st Floor",DATA,Database,2,Closed,2025-01-30 14:46:05,2025-02-02 13:26:25,VIP,70.67233642341422
INC234767,"Building A, Operations Center - Internet: routing problems - impacting 2 users in Compliance",NETWORK,Internet,4,Workaround Provided,2024-11-30 13:47:41,2024-11-30 15:30:33,Employee,1.7147212585377687
INC322002,Mobile Device incident - intermittent camera malfunction - Building B - Affecting: department operations,HARDWARE,Mobile Device,3,Resolved,2025-01-22 06:57:23,2025-01-24 04:06:02,Employee,45.14443148245061
INC731839,[Regional HQ] Manufacturing reports Internet ISP gateway issues for 1 user (intermittently throughout the day),NETWORK,Internet,4,Resolved,2025-02-06 13:07:33,2025-02-06 13:55:16,Employee,0.7955312876584907
INC825659,"[Warehouse, Basement] Customer Support reports Storage array degraded for business services",HARDWARE,Storage,3,Workaround Provided,2025-02-16 19:51:45,2025-02-17 02:49:13,Contractor,6.957939936439732
INC948144,"Legal Building A, Executive Floor: several workstations experiencing Application error message",SOFTWARE,Application,2,Resolved,2025-01-27 14:13:02,2025-01-29 01:30:10,Employee,35.28581968123203
INC780373,Supply Chain reporting Authentication password expiration causing problems for customer-facing services,IDENTITY,Authentication,2,Resolved,2024-12-02 16:15:12,2024-12-05 05:11:46,External,60.94303142869941
INC159375,Firewall intermittent session table full reported by business services in Co-working Space (after the recent update),NETWORK,Firewall,2,Resolved,2025-01-14 15:38:54,2025-01-15 20:45:02,Manager,29.10224462144272
INC645808,Product Management reporting Insider Threat degradation affecting business operations - Asset tag: SRV-9379,SECURITY,Insider Threat,4,Workaround Provided,2024-11-19 05:08:13,2024-11-19 09:26:58,Contractor,4.3125993982329
INC345088,Operations reporting ETL problem affecting critical services,DATA,ETL,1,Closed,2025-02-08 10:29:32,2025-02-15 20:00:29,Employee,177.51597423357669
INC170570,WAN incident - degradation - Distribution Center - Affecting: core services,NETWORK,WAN,3,Resolved,2025-02-15 06:38:47,2025-02-16 11:45:18,Employee,29.108776520412974
INC649050,"Printer incident - not printing - Building A, Ground Floor - Affecting: department operations (following maintenance)",HARDWARE,Printer,1,Resolved,2025-01-07 13:56:08,2025-01-11 11:34:16,Employee,93.63580374688351
INC808336,R&D Lab - AWS: IAM permission issues - impacting business operations (after the recent update) - IP: 10.129.151.55,CLOUD,AWS,4,Workaround Provided,2025-02-11 15:39:06,2025-02-12 02:28:08,Manager,10.817368411195297
INC241902,"Warehouse, 2nd Floor - Data Breach: minor unauthorized data access - impacting multiple terminals",SECURITY,Data Breach,4,Workaround Provided,2024-12-28 08:38:30,2024-12-28 12:08:50,Employee,3.505812496188208
INC252937,[Research] core services affected by Point-of-Sale Hardware problem,HARDWARE,Point-of-Sale Hardware,3,In Progress,2024-12-26 13:27:45,,Contractor,
INC146503,"slow performance in Workstation system causing problems for 10 users at Manufacturing Plant, Ground Floor",HARDWARE,Workstation,3,Open,2024-10-12 16:29:57,,External,
INC674617,"Service alert: Mobile Device battery draining detected, impacting 1 user in HR - Vendor ticket: INC56367",HARDWARE,Mobile Device,1,Open,2025-02-08 15:14:29,,External,
INC649089,"issue in Point-of-Sale Hardware system disrupting all servers at Warehouse, IT Floor",HARDWARE,Point-of-Sale Hardware,3,Resolved,2025-01-22 11:04:35,2025-01-22 23:20:54,VIP,12.27197211060355
INC621806,"Service alert: Database index fragmentation detected, impacting critical operations (sudden onset)",SOFTWARE,Database,1,Resolved,2025-01-29 18:57:57,2025-02-07 06:31:41,Employee,203.56236377324166
INC745419,"Regional HQ, 2nd Floor - Switch: minor outage - impacting business services",NETWORK,Switch,2,Pending,2025-01-07 00:59:41,,VIP,
INC928372,driver conflicts in Operating System system hindering 3 users at Data Center,SOFTWARE,Operating System,3,Resolved,2024-10-14 10:28:09,2024-10-15 03:40:54,Manager,17.212657368096032
INC344322,"Research HQ Building, Training Room: department operations experiencing Mobile Device bluetooth failure (gradual degradation)",HARDWARE,Mobile Device,4,Open,2024-12-06 10:19:19,,Employee,
INC746786,Incident: major tenant isolation breach with SaaS reported from Satellite Office,CLOUD,SaaS,4,Resolved,2025-02-04 17:29:00,2025-02-04 20:05:02,Employee,2.6006589808058442
INC179155,"Authorization degradation flagged by 10 users in Branch Office, Training Room",IDENTITY,Authorization,4,Awaiting Information,2025-02-10 10:24:25,,Contractor,
INC309380,"Service alert: Security Software minor false positives detected, impacting team operations",SOFTWARE,Security Software,1,Closed,2024-12-28 13:17:02,2025-01-04 11:00:46,Employee,165.7291135252588
INC781029,"Database incident - backup failure - Manufacturing Plant, 1st Floor - Affecting: internal services (intermittently throughout the day)",SOFTWARE,Database,3,Closed,2025-02-10 09:13:11,2025-02-11 10:20:48,VIP,25.126997134721165
INC432855,"error in Insider Threat system affecting multiple users at Building A, Ground Floor",SECURITY,Insider Threat,1,Resolved,2024-12-22 15:23:01,2024-12-26 10:44:37,Employee,91.36011341106077
INC995536,"Building A, Executive Floor - IaaS: issue - impacting business services",CLOUD,IaaS,2,Duplicate,2024-08-26 10:47:51,2024-08-28 01:35:34,External,38.795332185661884
INC940161,"provided credentials in Phishing system impacting critical services at Warehouse, Operations Center",SECURITY,Phishing,2,Resolved,2025-02-07 15:33:04,2025-02-09 04:12:47,Employee,36.66217837605407
INC649507,Product Management reporting MFA bypass code problems affecting core services (intermittently throughout the day),IDENTITY,MFA,3,Closed,2024-12-14 13:11:31,2024-12-16 02:42:57,Employee,37.52390383621644
INC437416,"Warehouse, Operations Center - Office Suite: error - impacting 5 users in IT (intermittently throughout the day)",SOFTWARE,Office Suite,2,Resolved,2024-11-18 13:28:36,2024-11-19 23:43:29,Contractor,34.24809143716514
INC614955,"Incident: intermittent login failure with Authentication reported from HQ Building, Executive Floor",IDENTITY,Authentication,3,Resolved,2025-02-02 09:38:45,2025-02-02 23:16:10,Employee,13.623799252567059
INC773583,"[Distribution Center, Operations Center] Compliance reports Cloud Service critical authentication failure for internal services",SOFTWARE,Cloud Service,3,Workaround Provided,2025-02-01 15:09:42,2025-02-03 06:54:20,Employee,39.74394504788029
INC489919,Operations Field Location: business operations experiencing Vulnerability zero-day exploit (gradual degradation),SECURITY,Vulnerability,3,Resolved,2025-01-26 10:07:50,2025-01-26 21:10:16,External,11.040632715711334
INC822918,[Product Management] critical operations affected by Custom Software minor error,SOFTWARE,Custom Software,1,Awaiting Information,2024-09-28 19:13:23,,Contractor,
INC502449,IaaS incident - outage - Manufacturing Plant - Affecting: department operations - Software version: 6.19.68,CLOUD,IaaS,2,Resolved,2024-12-12 08:43:48,2024-12-14 01:42:08,Employee,40.97222721040497
INC481767,Customer Support reporting Server minor component failure causing problems for 2 workstations,HARDWARE,Server,3,Resolved,2025-02-07 11:40:47,2025-02-07 22:52:21,Employee,11.192800271344074
INC223994,"Branch Office, IT Floor - Gateway: error - impacting customer-facing services",NETWORK,Gateway,4,Closed,2025-02-11 09:15:16,2025-02-11 13:49:39,Manager,4.573221692133379
INC911174,malfunction in Storage system affecting internal services at Satellite Office,DATA,Storage,3,Closed,2025-01-14 17:28:36,2025-01-16 04:23:02,Employee,34.90747244233016
INC684890,"Incident: error with Proxy identified from R&D Lab, Ground Floor",NETWORK,Proxy,4,Workaround Provided,2025-02-11 09:12:34,2025-02-11 15:11:27,External,5.981651538223907
INC982507,"Service alert: Policy unauthorized resource detected, impacting multiple servers (intermittently throughout the day) - Asset tag: IT-3363",COMPLIANCE,Policy,1,Resolved,2024-11-14 00:34:07,2024-11-19 19:40:29,Contractor,139.1062037675082
INC223494,"HQ Building, 2nd Floor - Point-of-Sale Hardware: failure - impacting all workstations - Error code: ERR4231",HARDWARE,Point-of-Sale Hardware,3,In Progress,2025-02-02 13:30:02,,VIP,
INC220941,"Service alert: IaaS problem detected, impacting department operations",CLOUD,IaaS,2,Closed,2025-01-25 13:51:57,2025-01-30 04:27:36,Employee,110.59419227922787
INC300083,Building B - Data Quality: encoding problems - impacting multiple terminals - IP: 10.225.229.28,DATA,Data Quality,2,Closed,2025-02-01 13:37:22,2025-02-05 07:49:59,VIP,90.21051280674124
INC436120,Incident: outage with Custom Software flagged from Customer Site,SOFTWARE,Custom Software,4,Workaround Provided,2024-12-28 14:34:27,2024-12-29 02:32:30,Employee,11.967611784333062
INC384448,intermittent malfunction in Hybrid Cloud system affecting multiple workstations at Data Center,CLOUD,Hybrid Cloud,3,Closed,2025-02-12 10:18:58,2025-02-13 22:21:48,Employee,36.04745470214356
INC735720,Policy Violation error reported by customer-facing services in Home Office - Vendor ticket: T47770,SECURITY,Policy Violation,1,Resolved,2024-11-20 07:49:38,2024-11-27 11:06:55,Manager,171.2882567993495
INC902559,Facilities Co-working Space: department operations experiencing Private Cloud self-service portal,CLOUD,Private Cloud,3,Duplicate,2024-12-10 10:44:15,2024-12-12 04:36:46,Manager,41.87529203785204
INC629863,Sales reporting Cloud Service persistent excessive billing affecting critical services (for the past hour) - Software version: 3.1.40,SOFTWARE,Cloud Service,1,Workaround Provided,2025-02-14 09:39:16,2025-02-18 02:58:08,Manager,89.31449479139098
INC323087,"Operating System slow performance reported by 2 users in IT in Warehouse, Ground Floor",SOFTWARE,Operating System,2,Workaround Provided,2025-02-15 16:09:40,2025-02-20 04:42:23,Employee,108.54531314957009
INC961796,"Engineering Building A, 1st Floor: critical operations dealing with WiFi major weak signal (recurring issue)",NETWORK,WiFi,1,Awaiting Information,2025-02-17 10:18:29,,Employee,
INC470923,"Service alert: Gateway degradation detected, impacting 10 users in HR - Asset tag: SRV-2772",NETWORK,Gateway,2,Resolved,2024-09-26 19:00:05,2024-09-30 14:32:47,Manager,91.54511598584182
INC139331,Incident: duplex mismatch with LAN escalated from Data Center (recurring issue),NETWORK,LAN,2,Workaround Provided,2024-12-18 09:43:45,2024-12-20 18:51:31,Employee,57.129694464958476
INC478369,"IT Building A, Basement: internal services struggling with Workstation strange noises (sudden onset) - Vendor ticket: INC95861",HARDWARE,Workstation,2,Resolved,2024-12-20 08:35:02,2024-12-21 19:05:43,Employee,34.51163260233204
INC699786,[Co-working Space] Finance reports Proxy outage for critical operations (sudden onset),NETWORK,Proxy,3,Resolved,2025-02-09 14:00:52,2025-02-11 04:00:15,VIP,37.98974810869948
INC541476,"Service alert: Printer major hardware failure detected, impacting business operations (following maintenance)",HARDWARE,Printer,3,Resolved,2025-02-10 10:42:49,2025-02-11 07:34:47,Employee,20.866331880777004
INC311167,[Customer Site] Operations reports Cloud Service persistent data sync issues for critical operations (since this morning) - Error code: ERR9305,SOFTWARE,Cloud Service,1,Resolved,2025-01-23 08:36:55,2025-01-30 10:43:30,External,170.10996813568295
INC723614,Satellite Office - AWS: degraded ELB health check failure - impacting critical services,CLOUD,AWS,3,Resolved,2025-02-02 14:11:13,2025-02-02 23:30:21,External,9.318889702298245
INC885858,Product Management reporting Load Balancer critical failure affecting department operations (sudden onset),NETWORK,Load Balancer,4,Resolved,2024-11-28 15:56:44,2024-11-29 02:49:27,Manager,10.878657438260383
INC830455,"Incident: critical NAT errors with Firewall reported from Branch Office, Training Room",NETWORK,Firewall,3,Closed,2025-01-21 10:00:53,2025-01-22 11:37:29,Contractor,25.610225899318014
INC728329,IT Distribution Center: 5 users experiencing Workstation slow performance,HARDWARE,Workstation,2,Resolved,2025-02-15 05:17:55,2025-02-16 08:16:16,Employee,26.9725296495246
INC375855,degraded plugin failure in Application system affecting 1 servers at Distribution Center,SOFTWARE,Application,4,Not Reproducible,2025-01-20 10:17:09,2025-01-20 21:40:44,Manager,11.393280618880855
INC705136,"Custom Software problem reported by department operations in Manufacturing Plant, 2nd Floor (after the recent update)",SOFTWARE,Custom Software,3,Workaround Provided,2025-02-10 11:01:02,2025-02-10 18:34:09,Employee,7.551997495001688
INC120545,[Security] critical services affected by Storage error (following maintenance),DATA,Storage,2,Not Reproducible,2025-01-21 17:47:05,2025-01-23 11:22:00,External,41.582073231935055
INC721501,"Incident: boot problems with Operating System reported from R&D Lab, Operations Center",SOFTWARE,Operating System,3,Resolved,2025-02-13 15:04:47,2025-02-14 02:20:23,VIP,11.260117607371189
INC492661,"Service alert: WAN persistent malfunction detected, impacting 10 users in Development",NETWORK,WAN,1,Resolved,2025-02-14 12:19:30,2025-02-18 10:02:26,External,93.71580250554976
